00-00	[missing]
10-01	Ashi aentsnak agkan ajawai tikich aidaush chicham antujam atanum, apu chichama dakuen, chichama epegkin aidau ijunjamunmash, aents chichamuk puyattsa antujam amainai. Apu aidau aents katseknak nii bakumamainj i ajaig patayi asamtai ayamjuktatus pegkegnum inagnamaitsui, nuniashkush nii tuke aneas kajejak wainak dekaskechu aig baku inaimaitsui. Dekas yaita ayamjam amainush, tuja yaita bakumamainush nuna shiig dekamaninai.
11-00	Articulo 11.
11-01	Ashi aents aidau tutit chichamji ajamu, chicham shiig ejetuskek wainka suimak suwakuik waitkamaitsui, waitkatsuk apusa dekagmainai. Tuja apu chichaman inagdau aidau aents wajuk ayamjumkaya uwemainaita nuna takakush chicham umiktin agagbauwa nuna aintus dekagmainai, aents bakumamainji atsugbaush shiig ayamjumamain asamtai.
11-02	Makichik aentskesh chicham iina nugkeniatik umiktin, nuniashkush tikich nugkanmaya chicham umiktin aidaun betek umikchamtai suimak sunasti tusa chicham najatmaitsui yama nuniamu wainmawaik tichau ayatku, tsawan nagkaemakiu aig imapamak.
12-00	Articulo 12.
12-01	Makichkish aentsuk nii pujutaijin tikich pachintua nii dakitamun atsam takamainaitme, pujakmesh ajam pujumainaitme tusa yapagtuatasa waitkam amaitsui, dutikashkush jeenkesh, patayi pujamunakesh, tikichi jeenkesh jeteka, aentsun ajantus diitsuk wainak waftkamaitsui. Ashi aentsnak ajawai aents wainka waitkamaitsui tusa agagbauwa awi ayamjumka pujamu. Aentsuk wainka jetetaik pujumaitsui, wainka jetejatmainai tabau atsau asamtai.
13-00	Articulo 13.
13-01	Ashi aentstik agkan ajankas wekaemainaitji jinia apu nugka chichamjukbaunmag, tuja ji pujustinchakam ji nugka wakesa egaka jujui pujustajai tusa pujumainal.
13-02	Ashi aentsnak agkan ajawai tikich nugkanum weamush, tuja ditanmau nugkanmakesh, nunika tikich nugkanum weuti ataktu wakitki iina nugken tamushkam.
14-00	Articulo 14.
14-01	Ashi aents aidau, waitkastasa egamu akush, uyumakas agkan egamainai nii uwemainun, tuja nunu uwemtainum wayag shiig waitkascham pujumainai jiintsuk; junak tikich nugkanmakesh yupichu dutikmainai.
14-02	Tuja juju nuniamuk tikich nugkanmaya aidau dakjtmajnkesh katsekmakchau asa, tutjt chichamjish iman ajashbauti nunimainai. Kuashat pegkegchau takatsuk nunimaitsui. Nuna imanun takasunak makichkish dutikag uumaitsui.
15-00	Articulo 15.
15-01	Ashi aents aidauk nii nugkenia papinak takaku amainai, jimaja papigtin amaitsui.
15-02	Makichik aentskesh, tikich aentsun papijum yapajiata jujuiya papi takamainaitme tusa dakitaunakek yapagmitkamaitsui. Nutikashkush makichik aents nii nugkenian papin idaiyak jujuiya papin jukin juiya aents atajai tutaish atsa tusag utugmaitsui nii wakegaunakek.
16-00	Articulo 16.
16-01	Aishmag, nuwashkam tsakaja uminkag utujimtsuk agkan nuwenmainai, nunimaitsui nuwenmaitsui tusaish tumaitsui tikich nugkanmayajai nuwenatag takuish, nuniashkush nii tikich Apajuin etsagkin akush, mai wakejuniakug agkan nuwenmain ainawai, nunik mai shiig anendaiyas pujumainai. Tikich nugkanmayaj aish wagkag nuwenati, tikich aentsjaish wagkag nuwenati tusag utugmaitsui wakejuninaunakek. Tuja dita mai inainaisatag tutaishkam aikasag dutikmain ainawai.
16-02	Ashi aents nuwenkug ditak mai wakejunis chichasag nuwenmainai, wakejuniachunak waitkas nuwemain ainatsui.
16-03	Aents nii nuwejai, uchijijai batsatbauk dakittsa diyamak achatnai ajumaish, dita aidau kawetan, yakat muun ematan ikawean asamtai, ashi aents nui batsatkau aidaush kuitamainai, ayamjumainai dita atsumamunum, aikasag nugka apujishkam yupichu ayamjumainai, yaitnashkam yaimainai.
17-00	Articulo 17.
17-01	Ashi aents aidauk agkan yupichu ditash takatjigtin, ditash wajigtin amain ainawai. Tuja ashi aents ijuntuja takatainmash niishkam yupichu pachinak takamainai.
17-02	Makichkish tikich aents wajijinatatus takamunmag pachintuk juka ajamek takamaitsume tusag akasmatmaitsui. Aents niish takauk wainka takatji akasmatmaitsui.
18-00	Articulo 18.
18-01	Ashi aentstin ajutkagtawai agkan jintiaja anentaimtanum, Apajui umigtanmash, tikich Apajuima pujamu yapajintanmash, aikasag ajutkagtawai ii dekaskeapi tamau etsegtanmash, tikich ujatnumash, aents tuwakbaunum etsegtash, nuniashkush dita ijunja chichataij in etsegtanmash, jintitnumash, apajui etsagtanmashkam.
19-00	Articulo 19.
19-01	Ashi aents aidau nii anentaibaun chichaktag takush anenjas chichamainai, tuja nii anentaibau chichamunmash wainka waitkam amaitusi nunu nii chichamu dekajua ashi dapamtugtasa nunuig inagnatsuk.
20-00	Articulo 20.
20-01	Ashi aents aidau agkan shiig aneas, tikich aents aidaujai ijunjatag takush ijunmainai, tikichjai atukatag takush anenjas atuemainai, tujash wainak tutit chichaman aeptsuk.
20-02	Makichkish tikich aents ijunjag takainamunum pachia awayatasa waitkam amaitsui.
21-00	Articulo 21.
21-01	Ashi aents niina nugkenia apu takatjin tutupnik pachinak takastag takush anenjas dutikmainai, nuniashkush apujai takau aidau etejamkesh waya takamainai.
21-02	Ashi aents aidau apu namkatag takush anenjas tikich aents apu namaina nunisag naamainai niina nugken.
21-03	Ashi aents aidau wakejusam apu naamak taka nunu ima pegkejai, nunu aents wakejamuk apu adaimunum aents aidau papinum agajag ajapjamunum nii ima kuashat wagakiu anaimawa nuwai. Nunu papi agaja apu adaikatasa ajapeamuk ashi aents muun, nuwa muun papigtin aidau dutikmainai, ukagkesh, paan iwainakagkesh, tujash anenjas agkan dutikmain asamtai.
22-00	Articulo 22.
22-01	Ashi aents aidau, aents kawem batsatbaunum pachinak pujakush agkan kajitmamas shig aneas pujus umigmamainai atsumamujin, unuimatjinash, tikich aidau atsumkas, waitkas pujamujai betek pujutan, apu nii pujakbaunmaya, tikich nugkanmaya apujaigkesh kakas pujut pegkeg jukimunum pujakush.
23-00	Articulo 23.
23-01	Ashi aentsun ajawai takat anenjas pujusa takatnum, nuniak nii wakegamun egaka takamainai, tuja nunu takatnumak tikich aidaujau betek takak, tikich aidau kuichik juwamujai niishkam betek jumainai. Aikasag aents takak pujaush wainka jiiki ajapeam amaitsui.
23-02	Ashi aents aidau agkan shiig aneas nii takamunum tikich aidaujai betek kuichkin jumainai, wainak juka ujumchik akinkati tama amaitsui nunu takatnak takaigkik tikichin ima ewaegak akiayaitak.
23-03	Ashi aents aidau dita takamunum kuichik juwamu eketmaunmash, tikich aidaujai betek eketam amainai, ekek juwak ememen niina patayinash yaimain asamtai, tuja aents takau waittaish aikasag kuitamain ainawai pachitsuk inaitsuk.
23-04	Ashi aents aidaun ajawai takat takamunum shiig akijuinashkui chichamjumkatasa ijuntai najanbaunum.
24-00	Articulo 24.
24-01	Ashi aentsun ajawai takat takaku pujamu inagnaka ujumak tsawantai ayamain. Nunu nii ayamku tsawan megkaemunmash kuichkinak megkaetsuk takaku juwamujai betek jumainai.
25-00	Articulo 25.
25-01	Ashi aents aidau dita wakegamu umigmamka emetnaja pujumainuk agkan ajawai; aikasag niina patayinashkam. Tuja jata uwemtuja pujutnumash, yuta yuwa pujutnumash, waitkas pujutnumash, jaanch nugkutnumash, jeena pujutnumash, jaaku ampimatnumash ashi aents aidaujau yainitnumash, nii takatji emetja takatnumash, jaaku aents takau aidau ampimatain ampimamush takaschamin wajasa ajin yayam atanmash, wajemeamtai yayam atanmash, muunpaki kakaja takaschamin wajasa ajin yayam atanmash ashi ajutjamji yupichu anenjas yayam atanum.
25-02	Nuwa uchuchin jujeakui, uchuch akinushkam mai puyatjusa kuitaman amainai. Uchi iina nuwen akinu, nuniashkush iina tsanijinkish akinamtaish shiig puyatjusa kuitamam atinai. Uchi akinamtai wainka kuitamtsuk, pachitsuk inaimak amaitsui.
26-00	Articulo 26.
26-01	Ashi aents aidau agkan anenjas pujus unuimamainai. Unuimagtasa augbauk akikchauwai tiki anenjauchi. Yama nagkamsa dekatkau unuimata au dekatasa augbaunmag makichik aentskesh ausashtajai tusag dakitmaitsui, dakitakush augmainai aents aujtsuk pujumainai timau atsau asamtai. Tuja nuni ewaesa takat yupichu jukimig tusa aujtainmash ashi aents yupichu augmain ainawai. Tuja nuni nagkaemas emtuk ausatag takush nii papi aujtainum megkaetsuk shiig weakug tikich eemtuk aujuinamujai betek augmainai. Shiig unuimag weaunak amek aujmaitsume tusag inaimitkamaitsui.
26-02	Unuimatak pegkjai jina aentsti imanjiya nunu nuni nagkaemasa pantu iwaintumkatasa, nuniaku ashi aents aidaujaish aentsmatnaisa niniamu amain asamtai. Tuja ashi aents agkan pujamushkam shiig dekagnaimainaitji, tikichish ajantusa antugmainaitji tikich aents weantu aidaujaish, tikich Apajuin etsagkin aidaujaish, Nuniaku emtikmainai tikich nugkanmayajai atueja shiig agkan manit atsamunum ajutnaita nunu.
26-03	Ashi muun uchigtin aidauk anenjas etegmainai nii uchiji wajukunma aujus unuimamainaita nuna.
27-00	Articulo 27.
27-01	Ashi aents aidau anenjas pachinak takamainai unuimatai aidau takamunum nina yaktajin yaigtatus, nuniak eemtikmainai unuimagtasa dekatai aidaun, tuja nunu emtikamunmayan niishkam pegkejan jumain asa.
27-02	Ashi aentsun ajawai nii takatji nigki iwainamainji, unuimagtasa dekatai aidau agagbaunakesh tikich atagki iwainamaitsui, tikich takat aidaushkam aikasaik dutikmaitsui, aents imanchau anentam aig tusa.
28-00	Articulo 28.
28-01	Ashi aents aidau anenjas iwainamainai chicham aentsti tikich nugkanmaya aidaujai, iinia nugkanmaya aidautish umiktin ashi nugkanum agaja iwainagbauwa au shiig uminkati tusa chichamjamun.
29-00	Articulo 29.
29-01	Ashi aentsun nii yakat pujamunum umimain ajawai, nunu dutika umiamunum niishkam agkan anentaimtajin emtikmain asa. Ashi aents nii yaktajin takainamun yaimak anenjas pujumainai.
29-02	Chicham umiktin agagbau juu aidau umimainai tawa dutiksag ashi aents nii wakegamun takakush takamainai, agkan pujamujishkam nunisag, nuniak dekas chicham umiktin aidaun, agkan pujutan ashi ajantusa diyamun iwainamainai tikich aents aidau emtinish, ditashkam antsag batsamsatnume dita wakejamun takainakush tusa.
29-03	Juju agkan dutikmain, agkan pujuta dushakam, makichkikesh ashi aents tikich nugkanmaya aidaujai dita wakesa atus uminkatin ati tusa nagkamamu aigkik yaja yapajia takamain ainatsui.
30-00	Articulo 30.
30-01	Yamai juju chicham umiktin aidau iwainagbauwa juna nii yaja antuk yapajia takak aents agkan pujus anenjas takamainai tamau aina juna emegkaumaitsui yapaj itnakesh yapaj imaitsui chichaman.
