00-00	dbshr d hqwqw nrywalh a'lamyh
21-02	d hkwmt d qdrt srtchynh aw bnst dkhlkw aradh dh. dghh aradh bayd d hghw antkhabatw ph wasth tche ph sdaqt srh aw ph dwrany twgh trsrh shy, azhar shy. antkhabat bayd 'am aw d msawatw ph r'ayt kwlw srh 'mly shy aw d pty raye wrkwlw aw ya srh wrth tryqy ph wasth trsrh shy tche d raye wrkwlw azady tamyn kry.
22-00	dwh wyshtmh madh:
22-01	hr tswk d twlne d ghry ph nwm d twlnyz amnyt hq lry aw jayez dy tche d mly htsw ph wsylh aw ph nrywale mrste srh aqtsady , twlnyz aw frhngy hqwq tche d hghh d shkhsyt azad khkarndwy aw d hghh d mqam d parh lazm dy , hr hywad aw d mnab' aw tshkylatw ph r'ayt kwlw srh trlash kry.
23-00	drwyshtmh madh:
23-00	hr tswk hq lry tche kar wkry, khpl kar ph azadanh twgh srh ghwrh kry, d kar d mnsfanh aw rdayt khwwnkw shraytw ghwkhtwnky wy aw d be karye ph wrande trhmayt landy waq' shy.
23-01	twl hq lry tche lh hyts dwl tb'yd tskhh prth msawy kar ph mqabl kkhe msawy ajwrh tr lash kry.
23-02	hr tswk tche karkwy d mnsfanh aw rdayet khwwnky ajwre msthq grzy tche d ansany shtwnw srh brabr d hghh aw d hghh kwrnye jwnd tamyn kry awd lzwm ph wkht kkhe d twlnyz hmayt d ble nwe wsyle ph wasth hghh tkmyl kry.
23-03	hr tswk hq lry tche d khplw gtw d dfa' d parh lh nwrw srh athadye jwre kry aw ph athadyw kkhe hm gdwn wkry.
24-00	tslwrwyshtmh madh:
24-01	hr tswk dastraht, fraght aw tfryh hq lry aw ph tyrh ya d dwrany rkhsytw aw d kar dm'qwlw sa'twnw ph mhdwdyt srh d hqwqw msthq dy.
25-00	pnzh wyshtmh madh:
25-00	hr tswk hq lry tche dkhpl aw d khple kwrnye aramy, slamty aw d jwndanh sth d khwrak, mskn, tby tsarnw aw laryw d twlnyzw khdmtwnh lh plwh tamyn kry. aw hm da rngh hq lry tche dbekarye, m'twbtya, natwany, narwghtya, kwndh kydw aw nwrw twlw mwardw kkhe tche dansan darady nh dbandy 'wamlw ph wjh d jwndanh artyaww pwrh kwlw wsayl lh lash tlly wy awabrwmndanh jwnd lh shraytw tskhh brkhmn shy.
25-01	mende aw mashwman hq lry tche d zangry mrste aw tsarne tskhh gth wakhly, mashwman kh d wadh ph wasth ya be nkahh pyda shwy wy d msawy twlnyz tskh bayd brkhmn shy.
26-00	shpgwyshtmh madh:
26-00	hr tswk hq lry tche d khwwne aw rwzne tskhh brkhmn shy. khwwnh aw rwznh br srh ph lwmrynw aw asasy prawwnw kkhe wyrya lwmrny t'lymat bayd ajbary wy. hrfwy, tknyky zdh kre, 'mwmyt wmwmy lwre zdh kry bayd d msawy shrayetw srh d twlw prmkh khlasewy aw twl d ast'dad aw wrtya ph bnst lh hghh tskhh gth pwrth kry.
26-01	khwwnh aw rwznh bayd d ansany shkhsyt d bshpr waly aw bshry hqwqw aw bnstyzw azdyw th drnawy d zyatwaly ph lwre whtswl shy. khwwnh aw rwznh bayd twlw mltwnw, twkmnw aw dyny dlw tr mynz tfahm, zghm aw dwsty pyawre kry aw d mlgrw mltnw htse d swle d pyartya d parh pr mkh pqzy.
26-02	mbtdy aw plrwnh dkhplw awladnw d khwwny aw rwzny d tw't ph ghwrh kwlw ky d lwmrytwp hq lry.
27-00	awwh wyshtmh madh:
27-00	hr tswk hq lry ph frhngy , twlnyz jwnd kkhe ph azadanh twgh gdwn wkry , d hnrwnw aw fnwnw tskhh gth wakhly aw ph 'lmy prmkhtgwnw aw dhghw ph gtw kkhe brkhmn shy.
27-01	hr tswk hq lry tche ph twnh kkhe d dase yw nzm d brqrary ghwkhtwnky wy tche ph twlnyz aw nrywalh twgh hghh hqwq aw azady tche ph dghh a'lamyh kkhe thkr wy tamyn kry aw pr hghw 'ml wkry.
28-00	ath wyshtmh madh:
28-01	hr tswk hq lry tche ph twlnh kkhe d dasye nzm ghwkhtwnky shy tche ph de a'lamyh kkhe byan shwy hqwq aw azady tamyn kry.
29-00	nh wyshtmh madh:
29-00	hr tswk dhghy twlny ph wrande wzyfh lry tche dhghh azad tkaml aw mkml shkhsyt brabr kry.
29-01	hr tswk d hqwqw ph ajra aw dkhplw azadyw tskhh astfadh kkhe dhghw mhdwdwytwlw tab' dy tche d qanwn ph wasth mnhsran d nwrw d azadyw aw hqwqw pyjndne aw r'ayt kwlw d tamyn d akhlaqy shyh mqtdyatw d r'ayt 'mwmy nzm aw dtwlw dswkaly dparh dywy twlny ph shraytw kkhe wd' shwy dy.
29-02	dghh hqwq aw azady ph hyts hywad kkhe d mlgrw mltwnwd mqasd aw aswlw ph dd trsrh kydye nh shy.
30-00	dyrshmh madh:
30-01	ddghy a'lamy d mqrratw tskhh hyts yw bayd dasy tfsyr w nh shy tche dkwm dwlt dparh dasy yw hq damn wy tche dhghh ph mwjb wkwlye shy d dghy a'lamyy d mndrjw hqwqw aw azadyw tskhh hr yw lh mkhh ywshy aw ya bh hghh larh kkhe kwm f'alyt trsrh kry.
