00-00	ali'lan al'almy lhqwq alinsan
11-01	la ydan ay shkhs mn jra' ada' 'ml aw alimtna' 'n ada' 'ml ila itha kan thlk y'tbr jrman wfqan llqanwn alwtny aw aldwly wqt alartkab. kthlk la twq' 'lyh 'qwba ashd mn tlk alty kan yjwz twqy'ha wqt artkab aljryma.
12-00	almada 12
12-01	la y'rd ahd ltdkhl t'sfy fy hyath alkhasa aw asrth aw msknh aw mraslath aw lhmlat 'la shrfh wsm'th. wlkl shkhs alhq fy hmaya alqanwn mn mthl htha altdkhl aw tlk alhmlat.
13-00	almada 13
13-00	lkl frd hrya alnql wakhtyar mhl iqamth dakhl hdwd kl dwla.
13-01	yhq lkl frd an yghadr aya blad bma fy thlk bldh kma yhq lh al'wda ilyh.
14-00	almada 14
14-00	lkl frd alhq an ylja ila blad akhra aw yhawl alaltja' ilyha hrba mn aladthad.
14-01	la yntf' bhtha alhq mn qdm llmhakma fy jrayem ghyr syasya aw la'mal tnaqd aghrad alamm almthda wmbadyeha.
15-00	almada 15
15-00	lkl frd hq altmt' bjnsya ma.
15-01	la yjwz hrman shkhs mn jnsyth t'sfa aw inkar hqh fy tghyyrha.
16-00	almada 16
16-00	llrjl walmraa mta blgha sn alzwaj hq altzwj wtasys asra dwn ay qyd bsbb aljns aw aldyn. wlhma hqwq mtsawya 'nd alzwaj wathna' qyamh w'nd anhlalh.
16-01	la ybrm 'qd alzwaj ila brda altrfyn alraghbyn fy alzwaj rda kamla la ikrah fyh.
16-02	alasra hy alwhda altby'ya alasasya llmjtm' wlha hq altmt' bhmaya almjtm' waldwla.
17-00	almada 17
17-00	lkl shkhs hq altmlk bmfrdh aw balashtrak m' ghyrh.
17-01	la yjwz tjryd ahd mn mlkh t'sfa.
18-00	almada 18
18-01	lkl shkhs alhq fy hrya altfkyr waldmyr waldyn. wyshml htha alhq hrya tghyyr dyanth aw 'qydth, whrya ali'rab 'nhma balt'lym walmmarsa wiqama alsh'ayer wmra'atha swa' akan thlk sra am m' aljma'a.
19-00	almada 19
19-01	lkl shkhs alhq fy hrya alray walt'byr. wyshml htha alhq hrya a'tnaq alara' dwn ay tdkhl, wastqa' alanba' walafkar wtlqyha witha'tha baya wsyla kant dwn tqyd balhdwd aljghrafya.
20-00	almada 20
20-00	lkl shkhs alhq fy hrya alashtrak fy aljm'yat waljma'at alslmya.
20-01	la yjwz irgham ahd 'la alandmam ila jm'ya ma.
21-00	almada 21
21-00	lkl frd alhq fy alashtrak fy idara alshwwn al'ama lbladh ma mbashra wima bwasta mmthlyn ykhtarwn akhtyara hra.
21-01	lkl shkhs nfs alhq althy lghyrh fy tqld alwzayef al'ama fy alblad.
21-02	in irada alsh'b hy msdr slta alhkwma, wy'br 'n hthh alirada bantkhabat nzyha dwrya tjry 'la asas alaqtra' alsry w'la qdm almsawaa byn aljmy' aw hsb ay ijra' mmathl ydmn hrya altswyt.
22-00	almada 22
22-01	lkl shkhs bsfth 'dwa fy almjtm' alhq fy aldmana alajtma'ya wfy an thqq bwsata almjhwd alqwmy walt'awn aldwly wbma ytfq wnzm kl dwla wmwardha alhqwq alaqtsadya walajtma'ya waltrbwya alty la ghna 'nha lkramth wllnmw alhr lshkhsyth.
23-00	almada 23
23-00	lkl shkhs alhq fy al'ml, wlh hrya akhtyarh bshrwt 'adla mrdya kma an lh hq alhmaya mn albtala.
23-01	lkl frd dwn ay tmyyz alhq fy ajr mtsaw ll'ml.
23-02	lkl frd yqwm b'ml alhq fy ajr 'adl mrd ykfl lh wlasrth 'ysha layeqa bkrama alinsan tdaf ilyh, 'nd allzwm, wsayel akhra llhmaya alajtma'ya.
23-03	lkl shkhs alhq fy an ynsha wyndm ila nqabat hmaya lmslhth.
24-00	almada 24
24-01	lkl shkhs alhq fy alraha, aw fy awqat alfragh, wla syma fy thdyd m'qwl lsa'at al'ml wfy 'tlat dwrya bajr.
25-00	almada 25
25-00	lkl shkhs alhq fy mstwa mn alm'ysha kaf llmhafza 'la alsha walrfahya lh wlasrth. wytdmn thlk altghthya walmlbs walmskn wal'naya altbya wkthlk alkhdmat alajtma'ya allazma. wlh alhq fy tamyn m'yshth fy halat albtala walmrd wal'jz waltrml walshykhwkha wghyr thlk mn fqdan wsayel al'ysh ntyja lzrwf kharja 'n iradth.
25-01	llamwma waltfwla alhq fy msa'da wr'aya khastyn. wyn'm kl alatfal bnfs alhmaya alajtma'ya swa' akant wladthm natja 'n rbat shr'y am btryqa ghyr shr'ya.
26-00	almada 26
26-00	lkl shkhs alhq fy alt'lm. wyjb an ykwn alt'lym fy mrahlh alawla walasasya 'la alaql balmjan, wan ykwn alt'lym alawly ilzamya wynbghy an y'mm alt'lym alfny walmhny, wan yysr alqbwl llt'lym al'aly 'la qdm almsawaa altama lljmy' w'la asas alkfa'a.
26-01	yjb an thdf altrbya ila inma' shkhsya alinsan inma' kamla, wila t'zyz ahtram alinsan walhryat alasasya wtnmya altfahm waltsamh walsdaqa byn jmy' alsh'wb waljma'at al'nsrya aw aldynya, wila zyada mjhwd alamm almthda lhfz alslam.
26-02	llaba' alhq alawl fy akhtyar nw' trbya awladhm.
27-00	almada 27
27-00	lkl frd alhq fy an yshtrk ashtraka hra fy hyaa almjtm' althqafy wfy alastmta' balfnwn walmsahma fy altqdm al'lmy walastfada mn ntayejh.
27-01	lkl frd alhq fy hmaya almsalh aladbya walmadya almtrtba 'la intajh al'lmy aw aladby aw alfny.
28-00	almada 28
28-01	lkl frd alhq fy altmt' bnzam ajtma'y dwly tthqq bmqtdah alhqwq walhryat almnsws 'lyha fy htha ali'lan thqqa tama.
29-00	almada 29
29-00	'la kl frd wajbat nhw almjtm' althy ytah fyh whdh lshkhsyth an tnmw nmwa hra kamla.
29-01	ykhd' alfrd fy mmarsth hqwqh ltlk alqywd alty yqrrha alqanwn fqt, ldman ala'traf bhqwq alghyr whryath wahtramha wlthqyq almqtdyat al'adla llnzam al'am walmslha al'ama walakhlaq fy mjtm' dymqraty.
29-02	ysh bhal mn alahwal an tmars hthh alhqwq mmarsa ttnaqd m' aghrad alamm almthda wmbadyeha.
30-00	almada 30
30-01	lys fy htha ali'lan ns yjwz tawylh 'la anh ykhwl ldwla aw jma'a aw frd ay hq fy alqyam bnshat aw tadya 'ml yhdf ila hdm alhqwq walhryat alwarda fyh.
