00-00	XO MAA NU XIJMOJOI NU KUCHTI KJA'NI
15-01	Kotho da ninki jinda zoo gi mui na jnini o da xiki gi maa pi nda jnini.
16-00	Re'ta ma rato nfini (16)
16-00	Yu nzoya i nu nana, bi ya ra zoo da nthati, ka kuchti, kotho da zoo te da xiki, make ro mingu ndanpa, ra kuchti da nthati, da mubi i da nthati kui bu da ne da gege xo da zoo ga jinda nthati.
16-01	Be ne'ui da zoo da nthati yu yo ra'yo nzoya i nana da zoo da nthati.
16-02	Nu mi'ni guenu ra zoo da nka pa yu kja'ni da budi i da nka kuchti da foetsi yu yo kja'ni i nu ro ajte.
17-00	Re'ta ma yojto nfini (17)
17-00	Gotho nu kja'ni ka ro kuchti da metsi ro meti, ratse o kuadi'ju.
17-01	Kotho te da xiki de nu ri meti.
18-00	Re'ta ma jnato nfini (18)
18-01	Gotho nu kja'ni kuchti da fini nu ro mui; nu kuchti i no'ui ni bu da kambia nu ro mui, i da maa anja di mui, da raze o da muntsi, da no'ui yu kja'ni o da raze, kon nu ro xodi, nu ro mui.
19-00	Re'ta ma gujto nfini (19)
19-01	Gotho nu kja'ni ka ro kuchti anja ga bini pa maa; nu ro kuchti gotho da xifi te da xifi ankja ga ro nfini, da noni i da tu'ni ka ne, pa da nu'ti gege, i kotho nimbi jina, gotho yu maa yu nkja.
20-00	Nonte nfini (20)
20-00	Gotho nu kja'ni ka kuchti de nu ro muntsi yu kja'ni.
20-01	Kotho da zoo da xiki gi kiti manke jingi ne nu aro muntsi.
21-00	Nonte ma n'a nfini (21)
21-00	Gotho nu kja'ni ka ro kuchti da niti nu ajte de nu jnini, da niete nu yo ra kja'ni o gege'tze.
21-01	Gotho nu kja'ni ka ro kuchti da niti, ra gentho, nu yo mefi go ajte nu ro kja'ni
21-02	Nu ne yu kja'ni de jnini geru ra zoo i da jiete nu ajte; nu bi ne dana ko yu tdani pa de pe'nu a ko nu ajte, tzoto i danuju.
22-00	Nonte ma yojo nfini (22)
22-01	Gotho nu kja'ni komu i binu a muntsi, ka ro kuchti pa da moedi, pa mu ro jnini, nda foechte nu xijmojoi, nu ro muntsi i nu ro domi nu ro jnini, yu yo kja'ni, i nu ro mui ne kja'ni a te nu ro kja'ni.
23-00	Nonte ma jnu nfini (23)
23-00	Gotho nu kja'ni ka kuchti nu ro befi, ka ro kuchti a da juani, a nu ro befi i da fochte nu ro befi.
23-01	Gotho nu kja'ni ka ro kuchti, xatho da tsifi, ra gentho nu pefi ra gentho gotho.
23-02	Gotho nu kja'ni pefi ka kuchti a da tu'ni da ro domi ka tu'ja pa da, nini yu yo baetsi, nu yo mini, pa da mui ra zoo'ju, i da boedi'ju.
23-03	Gotho nu kja'ni ka kuchti da ka da ro ngu ajte pa da muentsi'ju da K'ati yu yo mui.
24-00	Nonte ma goo nfini (24)
24-01	Gotho nu kja'ni ka ro kuchti da tzo'ye nda rato, da mi de nu ro befi i nu ro tzo'ye da ngutibi.
25-00	Nonte ma kuta nfini (25)
25-00	Gotho nu kja'ni ka kuchti da mui ra zoo, ko nu ro mini, nu ro jnuni, nu ro jee, nu ro ngu, pa nu ro nithi, pa gotho yu joni; i ka kuchti da bu tutsi ro tu'ju nu a da ka jnine, da goji, ra'me, ranchu, i bi ndejta o te da thogi nu ro nzaki.
25-01	Nu ro me i nu ro baetsi i ka kuchti da foedi ra zoo. Gotho yu baetsi, xo mui de nu ro nthati, ka kuchti da foetsi.
26-00	Nonte ma ra'to nfini (26)
26-00	Gotho kja'ni ka kuchti da ujti'te. Nu ujti'te da ka ji'da kuti, nu ro ujti'te ro da a'tzedi. Nu ro ujti ra kaey i nu ra tee ka kuchti pa gotho yu i ne; na yu ne da paedi ra tee gotho ra gentho.
26-01	Nu ro ujti ra zoo pa da tee nu ro paedi nu ro kja'ni i nu i nzengua yu kuchti mui kja'ni. Pa da foechte pa da baedi, da na i da ne'ju gotho yu xijmojoi i gotho yu muntsi natho nu ra jna, i da no da na gotho nu yo knini pa da te nu yo befi yu xijmojoi pa da mui ra zoo.
26-02	Gotho yu ta ka kuchti da juajni nu ro ujti pa da padi yu yo baetsi.
27-00	Nonte ma uojto nfini (27)
27-00	Gotho nu kja'ni ka kuchti da maa'nka bini de nu ro nzaki nu ro mui de nu jnini, a da nuti nu ro tee i nu ra zoo nu ro jnini.
27-01	Gotho nu kja'ni ka kuchti a da poedi nu ro nfini i yu ra zoo yo meti gege.
28-00	Nonte ma jnato nfini (28)
28-01	Gotho nu kja'ni ka kuchti da mui ra zoo nu a nu knini o da pi n'angu knini ka kuchti xo maa i da nka.
29-00	Nonte ma gujto nfini (29)
29-00	Gotho nu kja'ni petsi te da me'fi, nu a ro knini, pa da zoo ra kja ra zoo ku nu ro kja'ni.
29-01	Bu da me'fi yo kuchti. Gotho nu kja'ni da me'fi gangu nu ya xo maa nu ro tzukua pa da budi i da la yu yo kuchti gangu bini.
29-02	Nu yu kuchti jinda zoo da, ka bu, da ne da boeti nu ro nfini pa nu ro xijmojoi.
30-00	Jnu'te nfini (30)
30-01	Kotho nu maa nu je'mi da zoo da jiete nu kuchti nu jnini, nu muentsi o nu kja'ni, pa da zoo da jiete o da ka da ningi jingi ka kuchti da jiete nu xo maa nu a nu je'mi.
