00-00	[missing]
05-00	anuccheed𑌃 5
05-01	n kmpi jn+m virudhya avmaannaatmk+m vyavhaar+m dnndd+m vaa kruur+m amaanviiya+m prtoodn+m vaa prvrtyaitu+m anujnyaaasyatee.
06-00	anuccheed𑌃 6
06-01	vidhee𑌃 smkss+m srvoo𑌽pi jn𑌃 srvtr abhijnyaaatu+m adhikaar+m s+mdhttee.
07-00	anuccheed𑌃 7
07-01	vidhee𑌃 smkss+m srvee𑌽pi tulyaaa𑌃 smaanaashc vrtntee. api c vinaiv kmpi bheed+m vidhee𑌃 tulya+m s+mrkssnnmvaaptu+m arhnti. asyaaa𑌃 abhighoossnnaayaaa𑌃 ull+mghnee kmpi bheed+m, eetaadrgbheed+m vaa abhilkssya kaampi ceessttaa+m virudhya smaan-s+mrkssnnaarhaa𑌃 srvee𑌽pi vrtntee.
08-00	anuccheed𑌃 8
08-01	vidhinaa s+mvidhaaneen vaa prdttaanaa+m maulikaadhikaaraannaamull+mghn-kaaryaaannaa+m krtee, yaoogyaai𑌃 raassttriiya-nyaaayapiitthai𑌃 s+mstutaanaa+m prbhaavinaa+m smupaayaaanaa+m pryaoogaarhoo hi srvoo jnoo𑌽sti.
09-00	anuccheed𑌃 9
09-01	n koo𑌽pi jn𑌃 sveecchyaaa nigrhiitu+m, dhrtu+m, nisskaasyaitu+m vaa anujnyaaasyatee.
10-00	anuccheed𑌃 10
10-01	srvoo𑌽pi jn𑌃, sv+m virudhya prvrttitsya ksyaaapi aapraadhikaaksseepsya, sviiyaaadhikaaraannaa+m daayaitvaanaa+m c, vinirdhaarnnsya c krtee, svaadhiineen nisspksseenn c nyaaayapiittheen vidhiiyamaansya smucitsya saarvjniksya shrvnnsya c krtee srvoo𑌽pi jn𑌃 puurnnaa+m smaantaa+m dhaaryati.
11-00	anuccheed𑌃 11
11-01	prtyaeekmpi jn𑌃, vidheernusaareenn yaaavdvdhi saarvjnikaabhiyaoog-prkrnnee prmuyavaapraadh-siddhi+m naiv bhjtee, taavtpryant+m nirdusstt𑌃 ityaaam+msyatee. api c, sviiya-prtirkssaarth+m teen jneen srvmpi aavshyak-prtibhuutijaat+m uppaadniiya+m vrttee.
11-02	aantaaraassttriksya raassttriksya c vidheerntrgtm prmuyavaapraadh-nissprbhaavksya ksyaaapi kaaryasya kaarnnaat n koo𑌽pi prmuyavaapraadhaarth+m apraadhiiti gnnyaissyatee. n vaa, prmuyavaapraadh-kaalee prvrtniiya-dnndd-daanaat naadhiktroo dnndd𑌃 ksmi+mshcidpi prvrtniiyaoo bhvitaa.
12-00	anuccheed𑌃 12
12-01	dvaadshoo𑌽nuccheed𑌃n ksyaaapi vyaktigtee paarivaarikee c jiivnee, grhee, ptrvyavhaaree c sveecchyaaa hstksseepoo𑌽nujnyaaasyatee, n vaa ksyaaapi yavyaaati+m smmaan+m vaakraantu+m koo𑌽pi shkssyati. eetaahk-hstksseepaakrmnnaani virudhya prtyaeekmpi-jn𑌃 vidhi-s+mrkssnn+m s+mdhttee.
13-00	anuccheed𑌃 13
13-01	prtyaeekmpi raassttrsya siimni aavaassya gmnaagmnsya c svaatnnyayaaadhikaar+m prtyaeekmpi jn𑌃 s+mdhaaryati.svdeeshoopeet+m kmpi deesh+m tyaktu+m svdeesh+m c prtyaaagntu+m prtyaeekmpi adhikrtoo𑌽sti.
13-02	[missing?]
14-00	anuccheed𑌃 14
14-01	updrveebhyaoo rkssitu+m anyadeesheessu shrnnmdhigntu+m prtyaeekmpi adhikaar+m s+mdhttee.s+myauktraassttrs+mghsya siddhaantaanaa+m uddeeshyaaanaa+m c prtikuulkaaryaeebhya𑌃 raajniitikeetraapraadheebhyashc smuttthiteessu vaastvikaabhiyaoog-prkrnneessu adhikaaroo𑌽ya+m naiv prbhvitaa.
14-02	[missing?]
15-00	anuccheed𑌃 15
15-01	prtyaeekmpi raassttriyataayaaa𑌃 adhikaar+m dhaaryati.n koo𑌽pi sveecchyaaa sviiyaraassttriiyataatoo vnyacit𑌃 syaaat, n vaa sviiya-raassttriiyataa-privrtnaadhikaaraat prtyaaayavyaaatoo bhveet.
15-02	[missing?]
16-00	anuccheed𑌃 16
16-01	jaati-dhrm-raassttriiyataa-niyamn+m vinaiv puurnn-vyaskaa𑌃 strii-purussaa𑌃, privaar+m prtisstthaapyaitu+m vivaahaadhikaarvntoo vrttntee.
16-02	vivaahaarth+m, vivaahaavsree, vivaah-viccheedee vaa tee smaanaadhikaaraan s+mdhaaryanti.
16-03	vivaaheecchukaanaa+m puurnn-svtntr-shmtyaaiv vivaah-s+mskaar𑌃 anussttheeyaoo𑌽sti.privaarstu, smaajsya svaabhaavikoo maulikshc vrgiiyaaikaa+mshoo vrttee, api caaya+m smaajeen raassttreenn vaa s+mrkssnniiyaoo𑌽sti.
17-00	anuccheed𑌃 17
17-01	prtyaeekmpi anyaeessaa+m shyaoog-purssr+m eekaaki eev vaa smpts+mdhaarnn-svaamitvaadhikaar+m s+mdhttee.
17-02	n koo𑌽pi sveecchyaaa sviiyas+mptsvaamitvaadhikaaraat vnyacitoo bhveet.
18-00	anuccheed𑌃 18
18-01	prtyaeekmpi vicaaraannaa+m ceetnaayaaa𑌃 dhrmsya c svaatnnyayaaadhikaar+m s+mdhttee. asmin adhikaaree, sviiya+m dhrm+m vishvaas+m vaa shikssyaitu+m abhyastu+m arcitu+m pripaalyaitu+m vaa, vaiyaktikee saamaajikee c jiivnee, anyaaishc sh saamudaayaikjiivnee eekaakinaa vaa sviiya+m dhrm+m vishvaas+m svaatnnyaya+m c privrtyaitumpi prtyaeek+m jn𑌃 svaatntrya+m dhaaryati.
19-00	anuccheed𑌃 19
19-01	prtyaeekmpi mntvyaaabhivyaktyaoo𑌃 adhikaar+m s+mdhttee. siimaavyavdhaan+m avignnyaya, keenaapi s+mcaar-maadhyameen vicaaraannaa+m suucnaanaa+m c aadaan-prdaanaarth+m vinaiv hstksseep+m kishcdpi jn𑌃, sviiya-mntvya-s+mghaarnnaarth+m adhikaaree𑌽smin arhissyatee.
20-00	anuccheed𑌃 20
20-01	prtyaeekmeev jn𑌃 shaantipuurnnriityaaa smmilitu+m s+mghttnaani c vircyaitumrhoo vrttee.keencidpi s+mghttneen sh aatmaan+m s+myaoojyaitu+m n koo𑌽pi vivshiikrtu+m shkyatee.
20-02	[missing?]
21-00	anuccheed𑌃 21
21-01	sviiyaraassttrsya prshaasnee prtyakssriityaaa athvaa nisspkssnirvaacit-prtinidhi-maadhyameen prtyaeek+m jn𑌃 shbhaagibhvitumrhti.
21-02	prtyaeek+m jnstdiiyaee raassttree lookseevaayaaa𑌃 tulyamdhikaar+m s+mdhttee.
21-03	lookeecchyaaa prshaasnaadhikaaroo vircyaissyatee; iyamicchaa kaalbddhai𑌃 niyamoocitaishc nirvaacnai𑌃 prkaashyam aagntrii; imaani nirvaacnaani c vaishvik+m tulya+m gupt+m mtdaaneen athvaa tulyameeveetreenn mtdaanvidhinaa bhvitaar𑌃.
22-00	anuccheed𑌃 22
22-01	prtyaeekmeev jn𑌃, saamaajiktvaat, saamaajik-surkssaayaaa adhikaar+m sndhaaryati; asau hi raassttriiyapryaaaseen aantaaraassttriiyashyaoogee n c prtyaeek+m raajyasya s+mghttn-s+msaadhnaanuruupm, sviiyaaavibhaajyaaarthik-saamaajik-saa+mskrtikaadhikaaraannaa+m prtisstthaayaai, sviiyavyaktitvsya unmukt {srvaa+mgiinn} vikaasaarth+m c s+msiddhi+m arhti.
23-00	anuccheed𑌃 23
23-01	prtyaeekmpi nirvrttitaa+m virudhya s+mrkssnnmdhigntu+m, anukuul-kaarya-sthitiinaa+m nyaaayaiikrnnmvaaptu+m svtntr-vrttitaa-cyan+m vidhaatu+m kaaryaaanni caanusstthaatu+m adhikaar+m dhttee.prtyaeekm, vinaiv bheedm, sm-kaaryaaarthm, smaan-veetnmaan+m {paarishrmik+m} adhigntu+m adhikrtoo𑌽sti.
23-02	kaaryanirt𑌃 prtyaeekmpi jn𑌃, svsya sviiya-privaarsya c maanviiya-gaurv-yautsya astitvsya s+mrkssnnaarth+m smucitaanukuul-paarishrmikaadaansya adhikaar+m dhaaryati.
23-03	aavshyakee sti caasau saamaajik-s+mrkssnnsya anyaoopaayaai𑌃 eettpuuryaitu+m arhissyatee.
23-04	sviiyahitaanaa+m s+mrkssnnaarth+m prtyaeekm shrmiks+mghttnai𑌃 saak+m aatmaan+m s+myaoojyaitu+m eetaadrk-s+mghttn+m vaa s+mrcyaitu+m adhikrtoo𑌽sti.
24-00	anuccheed𑌃 24
24-01	kaaryahooraannaa+m smucit-niyamn-purssrm, sveetn+m c niyataavdhikaavkaasheen sh vishrmaadhikaar𑌃 prtyaksmai prdeeyaoo𑌽sti.
25-00	anuccheed𑌃 25
25-01	prtyaeek+m jn𑌃 yavaadya-vstraavaas-cikitsoopcryaaadibhi𑌃, aavshyak-saamaajik-seevaabhishc sh svsya sviiyaprivaarsya c anaamyataayaai svsthtaayaai c pryaaapt+m jiivnstr+m s+mdhaaryaitu+m adhikrtoo𑌽sti. api c, niyantrnn-shuunyaaasu pristhitissu anyasmin jiivkoopaarjnaabhaavee vrddhaavsthaayaaa+m, vaidhvyapraaptau, ayaoogyataayaaa+m, rugnntaayaaa+m nirvrttitaayaaa+m c styaaam, prtyaeekmpi surkssaadhikaar+m sndhaaryati.
25-02	maatrtvsya shishutvsya c krtee vishissttsaahaayayaoopcryaaajaat+m prdeeya+m bhvitaa. avaidhaa𑌃 vaidhaashc srvee𑌽pi baalaa𑌃, smaan+m saamaajik+m s+mrkssnn+m avaaptu+m arhissyanti.
26-00	anuccheed𑌃 26
26-01	prtyaeekmpi jn𑌃 shikssaadhikaar+m s+mdhttee. praathmikeessu, maulikstreessu c shikssaa ni𑌃shulkaa vrtitaa. praathmikii shikssaa anivaaryaaa bhvitaa. praavidhikii vyaaavsaayaikii c shikssaa saamaanyatyaaa uppaadyaissyatee, ucctrshikssaa c, srveessaampi krtee yaoogyataadhaareenn smaanruupeenn praapyaaa bhvitaa.
26-02	shikssaissaa maanviiya vyaktitvsya srvaa+mgiinn-vikaas+m prti nirdissttaa bhvitaa api caissaa maulik svaatnnyayaaannaa+m maanvaadhikaaraannaa+m c krtee smmaan-s+mvrdhikaa bhvitaa. srveesvpi raassttreessu jaatiiyaeessu dhaarmikeessu-vaa vrgeessu shikssaissaa. syavyashissnnutaa-sdbhaav-s+mvrdhikaa vrttitaa. api caissaa, shaanti-s+mdhaarnnaarth+m s+myaukt raassttrs+mghsya kaaryaaanni itoo𑌽pyagree prsaaryaissyati.
26-03	baalaanaa+m krtee prdeeyaaa+m shikssaa+m ceetu+m pitrau praathmyaaadhrt+m adhikaar+m dhaaryat𑌃.
27-00	anuccheed𑌃 27
27-01	vividhklaanaa+m aannd-sndoohmnubhvitu+m vaijnyaaanikoo-plsdhiinaa+m laabhaan c s+mvibhktu+m vibhinnaanaa+m smudaayaaanaa+m saa+mskrtik-jiivnee c svtntrtyaaa shyaooktu+m srvoo𑌽pi jn𑌃 adhikaaryautoo𑌽sti.
27-02	ksyaaapi vaijnyaaanik-saahityaik-klaatmkaanaa+m nirmaannaanaa+m, yasyaaasau rcyaitaasti, naitikaanaa+m vstugtaanaa+m hitaanaa+m s+mrkssnnaarth+m prtyaeek+m jnoo𑌽dhikaar+m s+mdhttee.
28-00	anuccheed𑌃 28
28-01	asyaaa+m abhighoossnnaayaaa+m nirdissttaanaa+m adhikaaraannaa+m svaatntryaaannaa+m c praaptyaee saamaajikaantaaraassttrik-vyavsthaayaaa+m c puurnntyaaa eetaan adhigntu+m prtyaeekmpi jnoo𑌽rhissyatee.
29-00	anuccheed𑌃 29
29-01	prtyaeek+m jn𑌃 smudaayasya krtee krtvyadaayaitv+m dhaaryati yaeen hi sviiya-vyaktitvsya puurnn-svtntr-vikaas𑌃 s+mbhveet.
29-02	sviiyaaadhikaar-svaatntryaaannaa+m kriyaaanvyanee prtyaeekm jn𑌃, anyaeessaa+m adhikaar-svaatntryaaanni prti smucitaabhijnyaaanaadr-s+mrkssnndrshaa nuun+m vyavhrissyati. api caasau looktaantrik-smaajee, saamaanya-klyaaann+m saarvjnik-vyavsthaa+m naitiktaayaaa𑌃 smucitaavshyaktaashc prti puurnn+m daayaitv+m nirvkssyati.
29-03	eetee𑌽dhikaaraa𑌃 eetaani svaatntryaaanni c, s+myauktraassttrs+mghsya uddeeshyaaani siddhaantaan c virudhya n kthmpi pryaookssyantee.
30-00	anuccheed𑌃 30
30-01	asyaaa+m abhighoossnnaayaaa+m nirdissttaanaa+m adhikaaraannaa+m svaatntryaaannaa+m c n koo𑌽pya+msh𑌃, prnnaash-lkssyaaadhaareenn kimpi kaaryamnusstthaatu+m eetaadrkkaaryaaanusstthaanaarth+m vaa ksyacit raassttrsya vrgsya jnsya vaa smiihit-siddhyarth+m anyathaa vyaaayavyaaatu+m naiv shkssyatee.
