00-00	Muhdu pameere pane iinujiri ijcyane miamunaa meijcyaiyone
02-01	Ine ihyaamitu muhdu tene caatuvadu meijcyaiya pamevamaye memunaa ijcyaturomema. Tsahdure meijtsucunuiya pamevakere wajpiimuke, walleemuke, pahduvare mejpiihane meneeromeke, pahduvare meihjyuvaromeke, muhdu Piivyeebeke cahcujtsoromeke, tsaijyu muune tsaate muhdura tukevejtsojtedityu ijtsameiyomeke, tsiine iinuji munaa ijcyaromeke, ihtsutumeke, idaatsoromeke, muhdiivatsihjivu tsiimavameiyomeke; pameekere tsahdure meijtsucunuiya tsaateke ehdiivalletume.
02-02	Tehdure tsa muhdura meijtsucunuityuro tsaijyu muune tsaate tukevejtsojte muhdura iiinuji munaake tukevejtsoromeke. Tsa ditye ityauhbajuune muhdura meenurone pane ijcyameke meehdiivalleityurone. Tsane iinuji munaa tsaate hojtsi pane muhdura ijcyaromeke tsa meehdiivalleityurone. Tsahdure meijtsucunuiya iiye tukevejtsomeiyomema diityeke.
03-00	3. Tukevejtsoju
03-01	Pahduube imi meijcyaiyahi. A;ameke tsa muha iineri meke ipatsarijcyomeke tutavajtsoityurone.
04-00	4. Tukevejtsoju
04-01	Tsa tsaate meke ihyojtsi panevu picyoome icubahradu meijcyame diitye iicuve munaa meijcyaityurone. Tsa muuca miamunaadivu menahjihenuityurone. Eene tsama avyeta tsa imillemeityune.
05-00	5. Tukevejtsoju
05-01	Tsa tsaatedi meicubahraityurone. Tsaateke meuwaabocooca chooco meuwaaboiyahi. Tsa memeenuityuro iyaabeke muu meenudu.
06-00	6. Tukevejtsoju
06-01	Pahduube miamunaajpi ine meiinujiri ihdyicyatsii meijcyarome tehdure meijcya teene tukevejtsojuune pane. Aame mepiivyete tsaateke meneene mewaabyuta pame waabyutare tene ijcyane meke ipiaaboki.
07-00	7. Tukevejtsoju
07-01	Tsane imibajchoju tsaatema memeenucooca tsa tsaatekere mepiaaboityurone. Pameemaye tsahdure imibajchoju meenumeiiya muhdu imichi teene tauhbaju nejijtori.
08-00	8. Tukevejtsoju
08-01	Pameere miamunaama imityunehji imibajchoobe imibajchoiya tehdiivane diityema pajtyecooca muhdu tauhbaju nehdu tsaateke ehdiivalletuubere.
09-00	9. Tukevejtsoju
09-01	Tsa tsaateke peecutere meekeevene mecuvejaanuityurone. Tehdure tsa peecutere tsaateke meiinujitu meijchivyetsoityurone.
10-00	10. Tukevejtsoju
10-01	Tsaate tsijtye halluvu imityunehji imibajchoobeke uuballeijvu diibye ellevu peemema imineuvure imibajchoiyoobe muuca ehdiivalletuubere. A;ronaa ihdyu tsa dibye tsaatekere piaaboityurone. Meenuiyoobe muhdu teene tauhbaju nehdu tsahdure pameemaye.
11-00	11. Tukevejtsoju
11-00	Tsaate tsijtye halluvu imityune uuballecooca tsa peecutere meneeityuro imiaane tehdujuco tene ijcyane. Tujkenu panetu uuballemeiiyome muhdu tene ijcyane imineuvu mewaajacuki.
11-01	Muurahjaa tauhbajui imineuvu paneevetunaa tsaate muhdura ijcyarome halluri tsa pahdu iina ijcyatune. A;ijyuu imityune meenuomeke tsa icyooca ijcyane tauhbaju nejijtori meuwaaboityurone. Meuwaaboiya teijyuu ijcyane tauhbaju nejijtori. A;ronaa ihdyu icyooca tsaate imityune meenuhajchii botsii meuwaaboiya muhdu icyooca ijcyane tauhbaju nejiijtori.
12-00	12. Tukevejtsoju
12-01	Tsa tsaateke iineri mepatsarijcyoityurone; tsa tsaate ja mepatsarijcyoityurone; tsa tsaate tsijtye ellevu walloone waajacuhaaimi meeeveityurone; tsa tsaatedityu nehnijyu mewaaoityurone. Ehdu nenehi ihdetu ijcyane meema tauhbajuune pame waabyuta meke tene ityehmeki.
13-00	13. Tukevejtsoju
13-00	Tsane iinujiri meijcyame mepiivyete mepeeiyone kiavu meimillehullevu. Aame meijcyaiya kia meimilletsihyi.
13-01	Muura pamevare mepiivyete tsiine iinujivu mepeeiyone. Aame meoomiiya meiinujivu meimillecooca. Aane tsa muha meke tsahajtsoityurone. Muura mepiivyete mepeene meimillehajchii tehulle meijcyaki.
14-00	14. Tukevejtsoju
14-00	Muura meiinujiri icubahramei pane meijcyahajchii mepiivyete mepeeiyone tsiine iinujivu. A;ane iinuji munaa tsaimiye meke waatsucupejtsoiya imi diityema meijcyaki. Tsa meke ditye catuhtsopejtsoityurone.
14-01	A;ronaa tsaijyu muune mehdityure ijcyane imityu medariivemeihijcyame ihdyu tsa mepiivyetetu tsiine iinujivu mepeeiyone. Awaarejuco ine muhdu ihyaami panetu tene nehdu meijcyatuhajchii muura tsa mepeeityurone.
15-00	15. Tukevejtsoju
15-00	Pamevare miamunaa meijcya tsane iinuji munaa. Aane tsa muha meke neeityuro tsane iinuji munaa meijcyatune.
15-01	Tehdure tsa muha meke peecutere wallooityuro tsiine iinujivu. Tehdure idye tsa muha meke neejuri tsiine iinuji munaajpiyejuco meijcyaityurone.
16-00	16. Tukevejtsoju
16-00	Pamevare miamunaa wajpiimumaye wallemu piivyete ityaabavajcatsine ieeve uujetetsihvu iimillehajchiijyu. Aame tsuuca tsaja munaa ijcyame piivyete itsiimavane. A;anetu tsa muha diityeke tsahajtsoityurone. Tsa muhdu tene neetu muutehji ditye ijcyane, muhdu Piivyeebeke ditye uraavyene. Muura pameere piivyete tyaabavajcatsine. Aane diitye taabavajcatsimye avyejuullejcatsiiya tsahdure. Tehdure waagoojcatsiyome avyejuullejcatsiiya tsahdure.
16-01	A;anetu tsa muuca metauhbaityuro ditye ityaabavajcatsiki. Caatye ityaabavajcatsine imilleme panetu iiye iimillehajchii piivyete ityaabavajcatsine.
16-02	Muura ihdyu panetu meijcyajuco teene tsaja munaa meijcyane. Aame pameere meijcya tsahdure meiinuji tukevejtsojie tukevejtsoju pane.
17-00	17. Tukevejtsoju
17-00	Muura pameere tsaapiitsa meijcyatsihjima meijcyaiya meimillehajchiijyu. Tehdure tsaate munaa ilinujima ijcyaiya iimillehajchiijyu. Aane tsa muha tsahajtsoityurone.
17-01	Aane tsa peecutere muhdityu iijcyatsii muha dojtucuityurone.
18-00	18. Tukevejtsoju
18-01	Pameere miamunaa mepiivyete muhdu meijtsameidyu meijcyaiyone, kejijtori Piivyeebeke meuraavyeiyone. Tehdure mepiivyete tsajijtotu tsijijtovu mepajiyeiyone muhdu meimilledu. Aame idye mepiivyete iina meijtsameineri, iina mecahcujtsoneri meihjyuvaiyone meereetsihvu. Tehdure mepiivyete medobeevetsihvu tsijtyeke meuwaabone keena euraavyejijto.
19-00	19. Tukevejtsoju
19-01	Pameere mepiivyete iina meijtsameine meijyujcaayoiyone tsijtye iwaajacuki. Aane muhdu meijtsameine meihjyuvane hallutu tsa muha meke tsariileityurone. Muura mepiivyete panevare mewaajane. Tehdure mepiivyete muhdu tsijtye ijtsamei ijcyane mewaajacune waajacuhaamine meeevenej teeveri. Muura idye mepiivyete iina meijtsameine mecaatunune, meuwaabone. Aane paneere mepiivyete ihdyicyahullevu tsiine inujiinevu metsujaucune. Inehji paneere mepiivyete memeenune mecaatununeri, meihjyuvaneri, panevariye muhdu meimilledu. A;ane hallutu tsa muha meke iina neeityurone.
20-00	20. Tukevejtsoju
20-00	Pameere mepiivyete tsatsihvu medobeevene mepityacojcatsiki. Tehdure mepiivyete tsaha munaa tsane wakimyei meenuha panevu meucaavene.
20-01	A;ronaa ihdyu tsa muha meke avyeta tauhbaityuro tsaha munaajpi meijcyaki.
21-00	21. Tukevejtsoju
21-00	Pameere mepiivyetera meiinuji tukevejtsojie ijcyaha munaa panevu meucaaveiyone. Meere meucaavene mepiivyetetuhajchii tsijtyeke mememenumeke mewaallooiya mecapayoove.
21-01	Muura pamevare mepiivyetera meiinuji tukevejtsojte niwaavene wakimyeihane memeenuiyone.
21-02	Muura pameere miamunaare memenume tsane iinuji tukevejtsojte ijcyahi. Teene meenume caatyeke ityujkeveellemeke teeveneuvure imyemenuneri. Aane tsa tsaatere piivyetetu teene imyeenune. Muura pameere mepiivyete mememenune. A;ronaa tsa muha meke tauhbaityuro tsaate metujkeveelletumeke mememenuki. Meere panetu caatye meijtsucunumeke mememenuiyahi. Tehdure idye mememenuiya tsaateke muhdu meimillejijtori. A;ronaa ihdyu imineuvu tene ijcyaiyodu memeenuiyahi.
22-00	22. Tukevejtsoju
22-01	Pameere mehdi ijcyaiyone iine tajpi meijcyane. A;nejcutu meiinuji avyejujte meke piaaboiya ipiivyeteduneri. Tehdure tsinehji inujiine munaa dsiidsivame meke piaaboiya iine tajpi meijcyaiyone meijcyatsotumeke. Aame iina meke pihtotume tsuuca imi mepaneevemedi tsa muha mehdi uuhivateityurone. Ehdu meijcyaiya imi memunaama meijcyame meuraavye meihde munaauvuu uraavyehijcyanetu kejitoji imi meijtsucunujijtoji.
23-00	23. Tukevejtsoju
23-00	Pameere mepiivyete mewakimyeima meijcyaiyone. A;ronaa idye tsa teeneri avyeta icubahramei memeenuityurone. Aane teene wakimyei tukevejtsome tsaimiye meke tukevejtsoiyahi. A;anetu tsaijyu muune tsaate iwakimyeima ijcyatuhajchii pamevare mepiaaboiya tehdure iwakimyeima ditye iijcyaki.
23-01	Pameere mepiivyete tsahdure meujcuiyone mewakimyei ahdo muhdu mewakimyeine tujkevevu.
23-02	Pameere wakimyei munaa iina iwakimyeine ahdo ujcuiya teene tajpi iisimema imi ijcyame iavyejuullemeiki. Aane tsaijyu muune tsaate wakimyei ahdo uujetetuhajchii tsijijtoriyejuco diityeke tene ahdomeiiyone tsijtye diityeke piaaboneri.
23-03	Pameere wakimyei munaa piivyete idyobeevene ipityacojcatsiiyone muhdu iwakimyei tsinehjima ijcyane iimibaavyetsoki.
24-00	24. Tukevejtsoju
24-01	Pameere mepiivyete mewakimyeityui tsarahja mewayeeeveiyone. Aane tsa mewakimyei mepatyeevetsoityurone. Eeveriye mewakimyeiiyahi. Muura teenellii ijcyane teenetu mewayeeevehijcyarahji. A;rojcoojiji ahdo meujcuiya tejcoojiji mewakimyeityuronaaaca.
25-00	25. Tukevejtsoju
25-00	Pameere mepiivyete tsaimiye meijcyaiyone meetsiimema. Aame mehjahanema meijcyamedityu tsa majcho, wajyamu, tsinehji iine tajpi meijcyaiyone pihtoityurone. Mechemecooca metaabimyeiyahi. Ijcyane tsinehji tehdure imi meke piaaboiyonehji. A;nejcuhjitu mepiaabojcatsiiya imi tsamehji meijcyaki. Tsaate iwakimyeima ijcyatumeke mepiaaboiya ditye tehdure iwakimyeima iijcyaki. Tehdure keememu, piibajyujte tsijtye idatso neeme iwakimyeiiyone piivyetetumeke mepiaaboiyahi.
25-01	Tehdure idye walleemu eevajtema tsiiniewuumuke tsaimiye metehmeiya imi ditye iijcyaki. Tsa apaamyere imi ityaabavajcatsine tsiimavamej tsiimeke metehmeityurone. Tehdure imi taabavajcatsityuromej tsiimeke tsaimiye metehmeiyahi.
26-00	26. Tukevejtsoju
26-00	Pameere mepiivyete waajacuhaamie miiteiyone. Tsa tsiime waajacuhaamine iitetume ijcyaityurone. Imillemeine pameere tsiime waajacuhaamine iiteiyone. Aane tsa ahdomeityune. Tehdure pameere mepiivyete ehniinevujuco ijcyane uwaabovu meucaaveiyone mewakimyeima meijcyaki. Tsa tsaate waabyutare tene ijcyaityurone.
26-01	Paneere uwaabo ijcya mewaabyuta meke tene wajacuuvetsome pamevakere maavyejuulleki. Aame tsa meehdiivalleityuro tsiine iinuji munaa, tsijyuhjiri ihjyuvamee, Piivyeebe icyanejcu pahduvare uraavyeromee, ijcyameke. A;anej teeveri 'Pane Inujiine Munaa Pihcyaave' nemeimye tukevejtsoju nehdu pahduube comine munaajpi imi iijcyaki.
26-02	Muura pameere mepiivyete meetsiimeke keena imi meijtsucunune ditye aabohijcyatsihvu meuacoiyone.
27-00	27. Tukevejtsoju
27-00	Pameere mepiivyete muhduhjaa meihde munaauvu icyahijcyanetu imi meijtsucunujitoji meuraavyeiyone majtsihane, nuutahanema tsinehji imi nenehji. A;nehjitu tsa muha meke piivyetetu iboijcyuiyone. Tehdure tsinehji ehniinevu mepiivyete mewaajacuiyone meicyanejcuene ijcyaturonehji keena meke piaaboiyonehji mewaajacuki.
27-01	Pameere mepiivyete memeenuiyone tsane, mecaatunuiyone tsane ijtsamei. A;nehji halluvu imichi teene meenume dsiidstvaiyahi. Tsa tene imillemeityu tsane memeenune tsijtye iekeevene halluvu dsiikistvaiyone.
28-00	28. Tukevejtsoju
28-01	Pameere tsinehji inujiine munaama mepiivyete meijcyaiyone tukevejtsoju pane imi meijcyaki. A;anelliihyee muura pahduube paneva inujiine munaajpi idyobeevene meenu tukevejtsoju. Aane tutavajtsoiyone tauhbaju muura tsa ijcyatune. Ehdu ijcyaiyone muhdu ihyaami panetu tene nehduu.
29-00	29. Tukevejtsoju
29-00	Pameere mahalluri teene memunaama imi meijcyanetu meke piaabone memeenuiyone. A;anetu mewaajacuiya imiaane tsuuca mewajacuuvejucoome imi mepaneevene.
29-01	A;anellii tsuuca ijcyane meema panevature meke tukevejtsoiyone tauhbajuune pameere tsahdure imi meijcyaki. Aame tsa metutavatsojcatsiityurone. Pameere patsaricyojcatsityume meijcyaiya tsahdure imi meijcyaki. Tsa muha piivyetetu iimilledu meke idyariiveiyone tehdu muhojtsi pane meijcyamekejiivari.
29-02	Muurahjaa ine tukevejtsojuune nehdu tsaimiye meijcyaiyahi. Aane tsa muha tsihdyurejtsoityuro 'Pane Inujiine Munaa Pihcyaave' nemeine panee ijcyame meenune tukevejtsojuune.
30-00	30. Tukevejtsoju
30-01	Paneere ine ihyaarni pane ijcyane tukevejtsoju meenumeine tsa muha tsinejcuvure illeebone iimilledu tsaateke dariiveityurone. Tsaijyu muune tsaapi, tsaate, meiinuji tukevejtsojte ijcyarome tsa tehdu meenuityurone.
