00-00	[missing]
09-01	na ko'pi janah svecchayaa nigrahiitum, dhartum, nisskaasayitum vaa anujnyaasyate.
10-00	anucchedah 10
10-01	sarvo'pi janah, svam virudhya pravarttitasya kasyaapi aaparaadhikaakssepasya, sviiyaadhikaaraannaam daayitvaanaam ca, vinirdhaarannasya ca krte, svaadhiinen nisspakssenn ca nyaayapiitthen vidhiiyamaanasya samucitasya saarvajanikasya shravannasya ca krte sarvo'pi janah puurnnaam samaanataam dhaarayati.
11-00	anucchedah 11
11-00	pratyekamapi janah, vidheranusaarenn yaavadavadhi saarvajanikaabhiyog-prakaranne pramukhaaparaadh-siddhim naiv bhajate, taavatparyantam nirdussttah ityaamamsyate. api ca, sviiya-pratirakssaartham ten janen sarvamapi aavashyak-pratibhuutijaatam upapaadaniiyam vartate.
11-01	aantaaraassttrikasya raassttrikasya ca vidherantargatam pramukhaaparaadh-nissprabhaavakasya kasyaapi kaaryasya kaarannaat na ko'pi pramukhaaparaadhaartham aparaadhiiti gannayissyate. na vaa, pramukhaaparaadh-kaale pravartaniiya-danndda-daanaat naadhikataro dannddah kasmimshcidapi pravartaniiyo bhavitaa.
12-00	anucchedah 12
12-01	na kasyaapi vyaktigate paarivaarike ca jiivane, grhe, patravyavahaare ca svecchayaa hastakssepo'nujnyaasyate, na vaa kasyaapi khyaatim sammaanam vaakraantum ko'pi shakssyati. etaahak-hastakssepaakramannaani virudhya pratyekamapi-janah vidhi-samrakssannam samdhatte.
13-00	anucchedah 13
13-00	pratyekamapi raassttrasya siimni aavaasasya gamanaagamanasya casvaatantryaadhikaaram pratyekamapi janah samdhaarayati.
13-01	svadeshopetam kamapi desham tyaktum svadesham ca pratyaagantum pratyekamapi adhikrto'sti.
14-00	anucchedah 14
14-00	upadravebhyo rakssitum anyadeshessu sharannamadhigantum pratyekamapi adhikaaram samdhatte.
14-01	samyuktaraassttrasamghasya siddhaantaanaam uddeshyaanaam ca pratikuulakaaryebhyah raajaniitiketaraaparaadhebhyashca samuttthitessu vaastavikaabhiyog-prakarannessu adhikaaro'yam naiv prabhavitaa.
15-00	anucchedah 15
15-00	pratyekamapi raassttriyataayaah adhikaaram dhaarayati.
15-01	na ko'pi svecchayaa sviiyaraassttriyataato vanycitah syaat, na vaa sviiya-raassttriyataa-parivartanaadhikaaraat pratyaakhyaato bhavet.
16-00	anucchedah 16
16-00	jaati-dharma-raassttriyataa-niyamanam vinaiv puurnna-vayaskaah strii-purussaah, parivaaram pratisstthaapayitum vivaahaadhikaaravanto varttante.
16-01	vivaahaartham, vivaahaavasare, vivaah-vicchede vaa te samaanaadhikaaraan samdhaarayanti.
16-02	vivaahecchukaanaam puurnna-svatantra-sahamatyaiv vivaah-samskaarah anussttheyo'sti.parivaarastu, samaajasya svaabhaaviko maulikashca vargiiyaikaamsho vartate, api caayam samaajen raassttrenn vaa samrakssanniiyo'sti.
17-00	anucchedah 17
17-00	pratyekamapi anyessaam sahayog-purassaram ekaaki ev vaa sampatsamdhaarann-svaamitvaadhikaaram samdhatte.
17-01	na ko'pi svecchayaa sviiyasampatsvaamitvaadhikaaraat vanycito bhavet.
18-00	anucchedah 18
18-01	pratyekamapi vicaaraannaam cetanaayaah dharmasya casvaatantryaadhikaaram samdhatte. asmin adhikaare, sviiyam dharmam vishvaasam vaa shikssayitum abhyastum arcitum paripaalayitum vaa, vaiyaktike saamaajike ca jiivane, anyaishca sah saamudaayikajiivane ekaakinaa vaa sviiyam dharmam vishvaasamsvaatantryam ca parivartayitumapi pratyekam janah svaatantryam dhaarayati.
19-00	anucchedah 19
19-01	pratyekamapi mantavyaabhivyaktyoh adhikaaram samdhatte. siimaavyavadhaanam avigannayya, kenaapi samcaar-maadhyamen vicaaraannaam suucanaanaam ca aadaan-pradaanaartham vinaiv hastakssepam kishcadapi janah, sviiya-mantavya-samghaarannaartham adhikaare'smin arhissyate.
20-00	anucchedah 20
20-00	pratyekamev janah shaantipuurnnariityaa sammilitum samghattanaani ca viracayitumarho vartate.
20-01	kenacidapi samghattanen sah aatmaanam samyojayitum na ko'pi vivashiikartum shakyate.
21-00	anucchedah 21
21-00	sviiyaraassttrasya prashaasane pratyakssariityaa athavaa nisspakssanirvaacit-pratinidhi-maadhyamen pratyekam janah sahabhaagibhavitumarhati.
21-01	pratyekam janastadiiye raassttre lokasevaayaah tulyamadhikaaram samdhatte.
21-02	lokecchayaa prashaasanaadhikaaro viracayissyate; iyamicchaa kaalabaddhaih niyamocitaishca nirvaacanaih prakaashyam aagantrii; imaani nirvaacanaani ca vaishvikam tulyam guptam matadaanen athavaa tulyamevetarenn matadaanavidhinaa bhavitaarah.
22-00	anucchedah 22
22-01	pratyekamev janah, saamaajikatvaat, saamaajik-surakssaayaa adhikaaram sandhaarayati; asau hi raassttriyaprayaasen aantaaraassttriyasahayoge na ca pratyekam raajyasya samghattan-samsaadhanaanuruupam, sviiyaavibhaajyaarthik-saamaajik-saamskrtikaadhikaaraannaam pratisstthaayai, sviiyavyaktitvasya unmukta {sarvaamgiinn} vikaasaartham ca samsiddhim arhati.
23-00	anucchedah 23
23-00	pratyekamapi nirvrttitaam virudhya samrakssannamadhigantum, anukuul-kaarya-sthitiinaam nyaayiikarannamavaaptum svatantra-vrttitaa-cayanam vidhaatum kaaryaanni caanusstthaatum adhikaaram dhatte.pratyekam, vinaiv bhedam, sam-kaaryaartham, samaan-vetanamaanam {paarishramikam} adhigantum adhikrto'sti.
23-01	kaaryaniratah pratyekamapi janah, svasya sviiya-parivaarasya ca maanaviiya-gaurav-yutasya astitvasya samrakssannaartham samucitaanukuul-paarishramikaadaanasya adhikaaram dhaarayati.
23-02	aavashyake sati caasau saamaajik-samrakssannasya anyopaayaih etatpuurayitum arhissyate.
23-03	sviiyahitaanaam samrakssannaartham pratyekam shramikasamghattanaih saakam aatmaanam samyojayitum etaadrk-samghattanam vaa samracayitum adhikrto'sti.
24-00	anucchedah 24
24-01	kaaryahoraannaam samucit-niyaman-purassaram, savetanam ca niyataavadhikaavakaashen sah vishramaadhikaarah pratyakasmai pradeyo'sti.
25-00	anucchedah 25
25-00	pratyekam janah khaadya-vastraavaas-cikitsopacaryaadibhih, aavashyak-saamaajik-sevaabhishca sah svasya sviiyaparivaarasya ca anaamayataayai svasthataayai ca paryaaptam jiivanastaram samdhaarayitum adhikrto'sti. api ca, niyantrann-shuunyaasu paristhitissu anyasmin jiivakopaarjanaabhaave vrddhaavasthaayaam, vaidhavyapraaptau, ayogyataayaam, rugnnataayaam nirvrttitaayaam ca satyaam, pratyekamapi surakssaadhikaaram sandhaarayati.
25-01	maatrtvasya shishutvasya ca krte vishissttasaahaayyopacaryaajaatam pradeyam bhavitaa. avaidhaah vaidhaashca sarve'pi baalaah, samaanam saamaajikam samrakssannam avaaptum arhissyanti.
26-00	anucchedah 26
26-00	pratyekamapi janah shikssaadhikaaram samdhatte. praathamikessu, maulikastaressu ca shikssaa nihshulkaa vartitaa. praathamikii shikssaa anivaaryaa bhavitaa. praavidhikii vyaavasaayikii ca shikssaa saamaanyatayaa upapaadayissyate, uccatarashikssaa ca, sarvessaamapi krte yogyataadhaarenn samaanaruupenn praapyaa bhavitaa.
26-01	shikssaissaa maanaviiya vyaktitvasya sarvaamgiinn-vikaasam prati nirdissttaa bhavitaa api caissaa maulikasvaatantryaannaam maanavaadhikaaraannaam ca krte sammaan-samvardhikaa bhavitaa. sarvesvapi raassttressu jaatiiyessu dhaarmikessu-vaa vargessu shikssaissaa. sakhyasahissnnutaa-sadbhaav-samvardhikaa varttitaa. api caissaa, shaanti-samdhaarannaartham samyukta raassttrasamghasya kaaryaanni ito'pyagre prasaarayissyati.
26-02	baalaanaam krte pradeyaam shikssaam cetum pitarau praathamyaadhrtam adhikaaram dhaarayatah.
27-00	anucchedah 27
27-00	vividhakalaanaam aananda-sandohamanubhavitum vaijnyaaniko-palasdhiinaam laabhaan ca samvibhaktum vibhinnaanaam samudaayaanaam saamskrtik-jiivane ca svatantratayaa sahayoktum sarvo'pi janah adhikaarayuto'sti.
27-01	kasyaapi vaijnyaanik-saahityik-kalaatmakaanaam nirmaannaanaam, yasyaasau racayitaasti, naitikaanaam vastugataanaam hitaanaam samrakssannaartham pratyekam jano'dhikaaram samdhatte.
28-00	anucchedah 28
28-01	asyaam abhighossannaayaam nirdissttaanaam adhikaaraannaam svaatantryaannaam ca praaptaye saamaajikaantaaraassttrik-vyavasthaayaam ca puurnnatayaa etaan adhigantum pratyekamapi jano'rhissyate.
29-00	anucchedah 29
29-00	pratyekam janah samudaayasya krte kartavyadaayitvam dhaarayati yen hi sviiya-vyaktitvasya puurnna-svatantra-vikaasah sambhavet.
29-01	sviiyaadhikaar-svaatantryaannaam kriyaanvayane pratyekam janah, anyessaam adhikaar-svaatantryaanni prati samucitaabhijnyaanaadar-samrakssannadrshaa nuunam vyavaharissyati. api caasau lokataantrik-samaaje, saamaanya-kalyaannam saarvajanik-vyavasthaam naitikataayaah samucitaavashyakataashca prati puurnnam daayitvam nirvakssyati.
29-02	ete'dhikaaraah etaani svaatantryaanni ca, samyuktaraassttrasamghasya uddeshyaani siddhaantaan ca virudhya na kathamapi prayokssyante.
30-00	anucchedah 30
30-01	asyaam abhighossannaayaam nirdissttaanaam adhikaaraannaam svaatantrayaannaam ca na ko'pyamshah, prannaash-lakssyaadhaarenn kimapi kaaryamanusstthaatum etaadrkkaaryaanusstthaanaartham vaa kasyacit raassttrasya vargasya janasya vaa samiihit-siddhayartham anyathaa vyaakhyaatum naiv shakssyate.
