00-00	MARDU IRAVUNKNERI HAMENDHANUR HRChAKAGIR
02-01	Amen vok uni ays Hrchakagrum bervats bolor iravunknern u azatutyunnere aranc voreve khtrutyan, himnvats ceghayin, mashki guyni, seri, lezvi, kroni, kaghakakan kam ayl hamozmunkneri, azgayin kam socialakan tsagman, unecvatski, dasayin patkanelutyan kam voreve ayl kargavitchaki vra.
02-02	Avelin, voch mi khtrakanutyun chpetk e lini himnvats yerkri kam taratski, kaghakakan, iravakan, kam mijazgayin kargavitchaki vra, lini da ankakh, khnamarkyal, vochinknakaravarvogh kam inknishkhanutyan voreve ayl sahmanapakumov petakan kazmavorum, vorin patkanum e marde.
03-00	Hodvats 3
03-01	Yurakanchyur vok uni aprelu, azatutyan u andzi andzernmkheliutyan iravunk.
04-00	Hodvats 4
04-01	Voch vok chpetk e lini strkutyan kam anazat vitchakum․ petk e argelven strkatirutyan u strukneri arutsakhi bolor dzevere.
05-00	Hodvats 5
05-01	Voch vok chpetk e yentarkvi kttankneri, dazhan, anmardkayin kam storacucich verabermunki kam patzhi.
06-00	Hodvats 6
06-01	Amen vok, ur el vor lini, iravunk uni tchanachvel vorpes iravasubyekt.
07-00	Hodvats 7
07-01	Bolore havasar en orenki arjev ev, aranc voreve khtrakanutyan, unen orenkov havasar pashtpanvelu iravunk. Bolore unen havasar pashtpanutyan iravunk, enddem cankacats khtrakanutyan, vorov khakhtvum e ays Hrchakagire, ev enddem nman khtrakanutyan mghogh cankacats sadranki.
08-00	Hodvats 8
08-01	Amen vok uni azgayin liazor dataranneri mijocov ir iravunkneri ardyunavet verakangnman iravunk, yete khakhtvum en sahmanadrutyamb kam orenkov sahmanvats nra himnakan iravunknere.
09-00	Hodvats 9
09-01	Voch vok chi karogh yentarkvel kamayakan kalanki, bantarkutyan kam artaksman.
10-00	Hodvats 10
10-01	Amen vok ir iravunkneri u partakanutyunneri sahmanman hamar ev ir dem cankacats kreakan meghadranki depkum, liakatar havasarutyan himan vra, iravunk uni, vor ir gortse ardaraci u hraparakaynoren lsvi ankakh u ankoghmnapah datarani koghmic.
11-00	Hodvats 11
11-01	Hancagortsutyan hamar meghadrvogh yurakanchyur mard iravunk uni anmegh hamarvel kani der nra meghke chi apacucvats orenkov nakhatesvats hraparakayin dataknnutyamb, vori zhamanak apahovven nra pashtpanutyan hamar bolor anhrazhesht yerashkhiknere.
11-02	Voch vok chi karogh datapartvel vorpes hancagorts vorevice ararki kam bactoghman hamar, vore katarvel e aynpisi zhamanak, yerb ayn azgayin kam mijazgayin orenkov hancagortsutyun chi hamarvel. Chi karogh sahmanvel naev aveli tsanr patizh, kan ayn, vore kirarvum er hancagortsutyan katarman zhamanak.
12-00	Hodvats 12
12-01	Voch vok chi karogh yentarkvel kamayakan mijamtutyan ir andznakan u entanekan kyanki nkatmamb, ir tan, tghtakcutyan ev kam ir patvi u hambavi dem kamayakan votndzgutyan. Amen vok uni orenkov pashtpanvelu iravunk enddem nman mijamtutyan kam votndzgutyan.
13-00	Hodvats 13
13-01	Amen vok uni teghasharzhvelu ev bnakutyan vayr entrelwu azatutyan iravunk yurakanchyur petutyan sahmannerum.
13-02	Amen vok uni cankacats yerkric, ayd tvum ir yerkric heranalu ev ir yerkir veradarnalu iravunk.
14-00	Hodvats 14
14-01	Amen vok iravunk uni ayl yerkrnerum hetapndumic apastan voronel ev apastanic ogtvel.
14-02	Ays iravunke chi karogh gortsadrvel aynpisi voch-kaghakakan hancagortsutyunneri kam ararkneri hamar harucvats hetapndutyunneri depkum, voronk hakasum en Miavorvats azgeri npataknerin u skzbunknerin.
15-00	Hodvats 15
15-01	Amen vok uni kaghakaciutyan iravunk.
15-02	Voch vok chi karogh kamayakanoren zrkvel ir kaghakaciutyunic kam kaghakaciutyune pokhelu iravunkic.
16-00	Hodvats 16
16-01	Chapahas tghamardik u kanayk, aranc voreve ceghayin, azgayin kam kronakan sahmanapakman, iravunk unen amusnanal ev entanik himnel. Nrank havasar iravunkner unen amusnanalis, amusnutyan entackum ev amusnalutsutyan zhamanak.
16-02	Amusnutyune karogh e kayanal miayn amusnacogh koghmeri liarzhek u azat hamadzaynutyan depkum.
16-03	Entanike hasarakutyan bnakan u himnakan bjijn e ev pashtpanvelu iravunk uni hasarakutyan u petutyan koghmic.
17-00	Hodvats 17
17-01	Amen vok uni sepakanutyun unenalu iravunk, inchpes menak, aynpes el urishneri het miasin.
17-02	Voch vok chi karogh kamayakanoren zrkvel ir sepakanutyunic.
18-00	Hodvats 18
18-01	Yurakanchyur vok uni mtki, khghtchi u davananki azatutyan iravunk․ ays iravunke nerarnum e ir davananke kam hamozmunknere pokhelu azatutyun ev ir davanankin kamhamozmunknerin hetevelu azatutyun, menak kam urishneri het hamategh, hraparakaynoren kam gaghtni, karozi, zhamergutyan, kronakan u tsisakan araroghutyunneri dzevov.
19-00	Hodvats 19
19-01	Amen vok uni hamozmunkner unenalu ev artahaytvelu iravunk․ ays iravunke nerarnum e hamozmunknerin anargel havatarim mnalu ev teghekutyunner u gaghaparner voronelu, stanalu u taratselu azatutyun, lratvutyan cankacats  mijocnerov, ankakh petakan sahmanneric.
20-00	Hodvats 20
20-01	Yurakanchyur vok uni khaghagh havakneri u miutyunner kazmelu iravunk.
20-02	Voch vok chi karogh harkadrabar andamakcvel voreve miutyan.
21-00	Hodvats 21
21-01	Yurakanchyur vok iravunk uni masnakcel ir yerkri karavarmane, anmijabar kam azat entrvats nerkayacucichneri mijocov.
21-02	Yurakanchyur vok ir yerkrum uni petakan tsarayutyun katarelu havasar iravunk.
21-03	Zhoghovrdi kamke petk e lini karavarutyan iravazorutyan himke․ ays kamki artahaytutyune petk e linen parberakan u aneghts entrutyunnere, voronk petk e iragortsven hamendhanur u havasar entrakan iravunki himan vra, gaghtni kvearkutyan kam hamarzhek azat entrakan entacakargeri mijocov.
22-00	Hodvats 22
22-01	Yurakanchyur vok, vorpes hasarakutyan andam, socialakan apahovutyan iravunk uni, ogtvum e ir arzhanapatvutyan ev ir andzi azat zargacman hamar anhrazhesht tntesakan, socialakan u mshakutayin iravunkneric azgayin jankeri u mijazgayin hamagortsakcutyan mijocov, yurakanchyur petutyan karucvatskin u resursnerin hamapataskhan.
23-00	Hodvats 23
23-01	Yurakanchyur vok uni ashkhatanki, ashkhatanki azat entrutyan, ardaraci u npastavor ashatankayin paymanneri ev gortsazrkutyunic pashtpanvelu iravunk.
23-02	Yurakanchyur vok, aranc vorevice khtrakanutyan, uni havasar ashkhatanki dimac havasar vardzatrutyan iravunk.
23-03	Yurakanchyur vok uni ardaraci u hamapataskhan vardzatrutyan iravunk, vorov apahovvi mardkayin arzhanapatvutyane vayel ir u ir entanike goyutyune, isk anhrazheshtutyan depkum lracvi socialakan apavutyan ayl mijocnerov.
23-04	Yurakanchyur vok uni ir shahere pashtpanelu hamarar hestakcakan miutyunner steghtselu ev dranc andamakcelu iravunk.
24-00	Hodvats 24
24-01	Yurakanchyur vok uni hangsti u zhamanci, ayd tvum, ashkhatankayin zhameri chapavor sahmanapakman ev parberakan vtcharovi ardzakurdneri iravunk.
25-00	Hodvats 25
25-01	Yurakanchyur vok uni kensamakardaki iravunk, vore ir ev ir entaniki hamar apahovi aroghjutyun u barekecutyun, ayd tvum, snund, hagust, bnakaran u bzhshkakan spasarkum, anhrazhesht socialakan tsarayutyunner ev apahovagrutyan iravunk gortsazrkutyan, hivandutyan, hashmandamutyan, ayriutyan, tserutyan ev ayn depkerum, yerb goyutyan mijocneri dzerkberume chi paymanavorvats irenic kakhvats hangamanknerov.
25-02	Mayrern u manuknern unen hatuk hogatsutyan u ozhandakutyan iravunk. Bolor yerekhanere, tsnvats amusnutyunic kam artaamusnakan kaperic, ogtvum en nuyn socialakan pashtpanutyunic.
26-00	Hodvats 26
26-01	Yurakanchyur vok uni krtutyan iravunk. Krtutyune, arnvazan tarrakan u hanrakrtakan pulerum, petk e lini anvtchar. Tarrakan krtutyune petk e lini partadir. Tekhnikakan u masnagitakan krtutyune linelu e endhanuri hamar matcheli, isk bardzraguyn krtutyune, bolori hamar havasarapes matcheli, himnvats endunakutyunneri vra.
26-02	Krtutyune petk e npatakaughghvats lini andzi liarzhek zargacmane ev mardu iravunkneri u himnakan azatutyunneri nkatmamb harganki amrapndmane. Ayn petk e npasti bolor azgeri, ceghayin kam kronakan khmberi mijev pokhembrnmane, handurzhoghakanutyann u barekamutyane ev el aveli npasti Miavorvats azgeri khaghaghapahpan gortsuneutyane.
26-03	Tsnoghnern unen irenc yerekhanerin trvogh krtutyan tesaki entrutyan arajnayin iravunk.
27-00	Hodvats 27
27-01	Yurakanchyur vok uni ir hamaynki mshakutayin kyankin azatoren masnakcelu, arveste drvatelu, gitakan arajentacin masnakcelu ev dra barikneric ogtvelu iravunk.
27-02	Yurakanchyur vok pashtpanutyan iravunk uni ir baroyakan u nyutakan shaheri hamar, voronk ardyunk en ir isk heghinakats gitakan, grakan kam gegharvestakan cankacats ashkhatanki.
28-00	Hodvats 28
28-01	Yurakanchyur vok uni socialakan u mijazgayin kargukanoni iravunk, vori depkum liovin iragortseli en ays Hrchakagrum sharadrvats iravunknern u azatutyunnere.
29-00	Hodvats 29
29-01	Yurakanchyur vok partakanutyunner uni hamanyki nkatmamb, ur ev miayn hnaravor e ir andzi azat u liarzhek zargacume.
29-02	Ir iravunknern u azatutyunnern irakanacnelis, yurakanchur vok petk e yentaka lini mimiayn aynpisi sahmanapakumneri, voronk orenkov sahmanvats en urishneri iravunkneri u azatutyunneri hamar patshatch tchanachum u hargank apahovelu ev baroyakanutyan, hasarakakan kargukanoni u endhanur barekecutyan ardaraci pahanjnere zhoghovrdavarakan hasarakargum bavararelu hamar.
29-03	Ays iravunkneri u azatutyunneri irakanacume voch mi depkum chpetk e hakasi Miacyal azgeri npataknerin u skzbunknerin.
30-00	Hodvats 30
30-01	Ays Hrchakagrum voch mi ban chi karogh meknabanvel vorpes voreve iravunki tramadrum vorevice petutyan, mardkanc khmbi kam arandzin andzanc zbaghvelu mi voreve gortsuneutyamb kam ararkov, voronk ughghvats linen Hrchkagrum sharadrvatsa zatutyunneri u iravunkneri vochnchacmane.
