00-00	Entsa Tunu Naa Nuka Chulla Bain, Muba Mubain Tsatsangenuu Deechu Detave Ti' Tsandi Depanu Kuinda
11-00	Articulo 11
11-01	Mun firu' keve ti' "pakaya-i' bain, ura uwain tsangeve ti' entsange keewarendetyuya uwain kuipave tikayanjutyu deechu tave; ley-nu naatinu bain juntsanu keetaditu tsenmin ura uwain narai kavitu ikutitu, naa tinu bain yaa naa-i balelanu' kinu bain tsaatala ne dedaakaanu ke'ne firu kindetyu ma narai kavitu ikutitu.
11-02	Naa mubain faata vi' kuipa viinuu dejutyuve ne tiinuba kike tsangetyu'ba kikenuu junuren ne kityuu ju' bain juntsa tsangenu tinbutala ne ya'chunu aa tu sukunu tsaityu'ba vee mujtu vee tusha Deechu jumulachi ti kuipa vinuu kuinda jutyuwaashu juntsaya. Tsenmin ti faateru kike' kuipa vi' i' bain, juntsa tsangenu tinbunu nai kuipa vinuu junu bain juntsa kuiparen viinuu juve, ne juntsanu yapa viinuu jutyuve.
12-00	Artkulo12
12-01	Naa mu bain tsangenuu jutyunuren tituba ke' ne ya naaju ti ken chumunu bain nee tsaatala na' baasa kikutinu' jutyuve, naa ne ya' bulu chachillanu juu bain, ne ya' ya juutala bain, ne yachin juu kiika juutala bain, naa ne ya tyee junu bain ne tsaa dajka chachi juunu bain, tsaatala ne firu' pakutyainuu jutyuve. Naaju chachilla bain entsa tsaa tituba deke' tituba depanu kenu tsaachi la'kakutyainuu ley-chi bale ikutinu deechu detave.
13-00	Articulo 13
13-01	Naaju chachilla bain ya' chunu aa tu sukunuya muba daatadindetyuren nuka ji'nendya' bain, ne nuka ya ke'chudindya' bain tsangenu deechu tave.
13-02	Naaju chachilla bain nuka ya' aa tu sukunu lu' ji' vee mujtu baasha tusha ji'-i' manen bene ya' chunu tusha maanu tya' bain tsainu deechu detave.
14-00	Articulo 14
14-01	Tengai'tu tituba kenu tya' deesuuke' firu kenu dekinmala, naa mubain, vee tusha vee paatesha lu'ji' nepiya' nemuyu ti' pa' junga chunu deechu tave.
14-02	Entsa deechu juushu juntsa naake' ne tsaave ti' juntsanu paka' balelantsaanu juve, ne ti faateru juu juntsan mitya kuipa viinu faateru ne juuba jushu juntsaya, tsaityu' bain Naciones Unidas ti kikenu tyatuaa tsenminnaa naati patuaa tsangenu bain juntsanu shilijtushu juntsaya.
15-00	Articulo 15
15-01	Mubain juntsa tushaa chumuyu juntsa chachee juyu tyanu deechu detave.
15-02	Naa munu bain tsangenu' jutyuunun kidandake' ya nutsa tushaa chumunu bain ti chachinu bain tsajutyuve ti'juntsa deechu chi'kenu dejutyuve. Tsenmin ne nutsa tusha chumu ju' ne ti chachi ju' vera' mandiyainu tyanu bain muba daatadinudejutyuve.
16-00	Articulo 16
16-01	Unbeerukula supulabain, yumaa pallu buudi' chunu tinbu ishu juntsaa, ne tsaa chachee ti' mujchi, ne juntsa tusha chumu juntsa chachee ti' mujchi,' ne tsaanuaa keengimuaa ti' mujchi pallu debuudi' yaitene ma bulu chachi tinu deechu detave; tsa'-i' manbarejuu deechu detave pallu debuudi' chutu titi kenuu juunu bain, tsenmin bulu chungamaya naa.ne mavelainu ki' bain tsaren deechu detave.
16-02	Bene yaiterie demutya' ya' ruku ya' shinbu tiyariuu judeeshu jUhtsala tsai' buudi' chulaya yaitene muba tsaide tindetyu ti kendu'ba nara miren tsai' buudi' chunu judeeve.
16-03	Naaju tsamantsa aa bulu chachilla' kejtsapaatala bain, pallu detiya' ma bulu paande imu chachillaa, ti ju'ba matyu kayu bale, juntsan jutyuya naaken tsaju. Juntsala naa juntsa .tsamantsa aa bulu chachillachi bain, naa nutsa tusha chunu juntsa tusha washnamu balelachi bain tsaren la'kaya' washkekutinuu deechu detave.
17-00	Articulo 17
17-01	Mu' chachi bain ne tyeenaaju tadinu tya' bain yachin juu bain, naa ne velaba debuudi' tadinu tya' bain tsangenuu deechu tave.
17-02	Naa munu bain tsangenu' jutyuunun kidandake' ya tyeenaaju tanu bain juntsa tajtuke pajtenu dejutyuve.
18-00	Articulo 18
18-01	Mu' chachilla bain muba bulla jutyu naake pensangendya'ba, naake maali ya' mishusha manbake'merandya'ba ne naake keengikenu tya'ba tsangenu deechu detave. Entsa deechu tsaren deechu kumuve, naa ne ya' keenginu tsuminu mavete' vera'  mangeengikenu tyanu bain, tsaityu'ba ne muba tsangide' tindetyuren maaliren ya tinuaa keengimu' bain juntsa ne maali, tsaityu'ba veelaba debuudi' wanditinu tya' bain tsangenu deechu. tave. Entsa tsandinu pudeve cha' kejtsapaatala, tsandityumee maalindala juntsa ya' keenginu mijakaanu, tsangikaanu, tsaa chachiyu titu, titi kenu junu bain juntsangikaanu, tsenmin tyeenaajaa tsangenjutyuu junu bain juntsa wainnu.
19-00	Articulo 19
19-01	Naaju chachilla bain muba bulla jutyu naati pandya'ba, naake keewaanu tya'ba tsangenu deechu detave; entsa deechu ne ya tsandi paa ti' juntsan mitya ne yanu bulla kee dekinu kenu la'kamu deechuve. Tsenmin ne tinaaju tyashi' keekinu tya' bain, naa ne ti kuinda juu mijainu tya' bain, tsai' demija' tichiba daakarajtu, daatadijtu ne ti kike' demijakaakenu tya' bain tsangenu deechuve.
20-00	Articulo 20
20-01	Mu' chachi. bain matyu tsangindyamiya muba bulla jutyu, ura'kenufiru kenu jutyu, naa-i wandindya'ba ne naa-i buudindya'ba tsangenu deechu tave.
20-02	Naa mu bain tsaa mutyai'mujchiren deranchi buutekarainuu jutyuve.
21-00	Articulo 21
21-01	Naaju chachilla bain lu'tsa' tusha juntsa ya' aa tu sukunu washnamu bale tinu yaibain tsaren deechu detave bale lunu kenu. Ura yarenma luinu ketu, tsangetyu'ba muba tsangide tindetyuren ya' mitya veelanu dete'lare' eetu.
21-02	Naaju chachilla bain lu'tsa' tusha, juntsa ya' aa tu suku juusha, tichiba faata' kurai'mujchi manbafejuren bale chachi tinu deechu detave.
21-03	Cha' paatala washke' uudengenu juushu juntsa kumuinchi chachilla naadetinuba, tyeengenu detyanuba, juntsanaa ti ju'ba lIatinanuu juuve. Tsa' mitya juntsa naadetin-tyeengenu detyanu juunuu jumiya naa uwanu bain tinbu tinbu bale chachi mande'lare' chuchungaanuu dejuve, kumuinchi chachilla dewa'di' dete'laatu. Matyu munaa te'laandu bain kiika petsenu maaliren mii chi'kaketu, tsangety)J'ba naane vera' juu kike' bairi naa uwanuba kumuinchi dewa'di' te'laalaakenuu deechu pirei'mujchi.
22-00	Articulo 22
22-01	Tsamantsa aa cha' bulu kejtsapaatala tsejnamu chachide' mitya, naaju chachilla bain, chachi jutu naa-i washkekutinuu junu bain tsaa deechu detave. Tsenmin ya'chunu tu sukunu naa kayu vee paatesha baasha aa tu suku jumula bain tsaren bulu dedeenge', urama patinuya ya' chunu tu sukunu naaju derade' bain, ne tiren taju' bain juntsa tsaanchi ura' kekutyanuu dejuve naaju chachilla bain, ne lushi paatechi juu, ne chachi dejutu tsaa paatechi juu, ne tyeengemu chachi juju' bain tsaa paatechi. Ya chachi jutu naa-i balenguranuu junu bain, tsenrnin ya naaju ne ti chachi juju' bain juntsaa tiinuba awakaren tsangenu ju' mitya juntsatalaa deechu tave.
23-00	Articulo 23
23-01	Naaju chachilla bain taawasha kenu deechu detave, ne ti taawashan kikenu tya' bain tsangenu pude deeve; naa muba mubain tsaren taawashanuya ne vera' taatu ii-i' mujchi sundya' kenuu taawasha kenu dejuve. Tsenmin taawasha tajtushu juntsaa, tsaan mitya la'kayanuu deechu detave, taawasha tajtun mitya.
23-02	Naaju chachilla bain ne tituba ikutya' delandyulla' ne jatsai keraba i'mujchi tsaren lushi kanuu deechu detave, tsaren manbarejuu taawasha ken mitya.
23-03	Naaju chachilla bain taawasha kimulaya deechu detave, mika sunden tsaren manbarejuu lushi kanu. Tsange' matyu juntsa taawasha kemunu ura' chujmin naa ya' paande chachillanu bain ura' chushmingenu, matyu ya chachi jutu naaju ura' chunuu dejunu bainjuntsangetu. Tsangenu kenu ti ne jayu faata' juunu bain, chachi deenu naake la'kanuu junu bain tsaa minu demi'ke' kayu ura' kenuu dejuve.
23-04	Naaju chachilla bain yala' kehu ts'uminu, ne yala' mutyanu tsuminu uukaakenungenu veelaba debuudi' naakitaa juntsanu deelanu ju' bain tsangenu buudinu deechu detave.
24-00	Articulo 24
24-01	Naaju chachilla bain lekanu deechu. detave, sunden malu puinu deechu detave. Ne ti taawasha juunu bain, shilli pensangike' tsantsa bare' taawasha juu kenu deechu bain detave. Tsenmin tinbu tinbu leka' naa juntsa tsange' lekandu bain lushi kanuu deechu detave.
25-00	Articulo 25
25-01	Naaju chachilla bain naa itaa ura' chunuu junu bain tsaa ura' chunu deechu detave. Tsange' naa ya' paande chachillanu bain, naa tiba jutyu dilujtu chunu paatetala bain, naa tichi bain tiba jutyu sunden chunu paatetala bain, tsaa chunu deechu detave. Ma patinuya pandatala, jai pannutala, chunu yatala, ne dilutu tsaanchi mi chachillanu mityakinutala, tsenmin yala chachi deenu tsadeeve ti' tichi la'kakenuu junu bain kumuinchi juntsa tsaanchi ura' kekutyanuu deechu detave. Tsenmin tengai'tu taawasha tajtu tiyaiba ishu juntsaa, naa ne diluiba ishu juntsaa, ne tiinuba i' tala'lakachin neeba tiyaishu juntsaa, ne kamainna ruku/supu tiyaiba ishu juntsaa, ne deruku' taawasha ketyuiba tishu juntsaa, tsenmin ne ya maaliya tsaa mi'kebangindyuren tsaa de'i' ya naakitaa lushi laremuwa' bain juntsa tajtui tishu juntsaya tsaalanu la'kanuu balelachin tsa deshiikara lushi uukare' tananu lushinchi la'kakutyanuu juve.
25-02	Nakaya paate juu, ne piyayaa atyutyu kailla judeeshu juntsalanu juu bain, naa-i washkanuu junu bain, ne munuba tsange uusundenna ketyuwa' bain yalanuya tsange ura' keena' washkenuu deechuma juuve. Naaju kailla bain, naa nepallu debuudi' chunu faleke, naa ne ishui kailla juju' bain, chachi dejutu naa-i washkanuu junu bain, naa-i la'kayanuu junu bain tsaanchi deechu detave.
26-00	Articulo 26
26-01	Naaju chachilla bain kiika mijanu deechu detave. Naa mikama mijtuuyu ti' bain jayu pudenbera mijakaraya t'lba paajutyu, tiba peedi i'mujchi kiika mijanu' deechu detave naajula bain. Jayu pudenbera mijanuya naa mubain deranchi ma tyuisurai' mijanuma judeeve. Ti mijakara bain, tsaanchi milan miinu mijakara bain, naa kiikachi .mi chachilla detirenu ki'bain juntsa mijakara naa munuba demijakaakenuu junu juve. Tsenmin kiika minchiren nunba kai'shaluinuu juushu junga vinu bain, muchi bain tsaren ne juunu juve, main main ya naaju pude' keranuba juntsanu keetaditu.
26-02	Kiika mijanchijuushu juntsa ma patinmalaya, chachi dejutu yanai keranuba ya naa junuba jun.tsa tyeeba junu awakaren tsangenaa juve. Tsenmin entsa tunu naa nuka chulla bain, muba mu bain tsatsangenuu deechu jumunu, naa chachi dejutu tyeenaajun kikendya'bain tsangenuu deechu judeeshu juntsatalaa, tyeeba junu puulawaren tsange' juntsa dekeetadi' juntsangikaanaa juve kiika mijanchi juushu juntsa. Tsenmin kiika mijanchi tyeeba ju' ura'kentsange' kayu narake aseetangikaanaa juve, naa ne veta' veta' te'ajaavijutyu, tsenmin naa nutsa tu paatesha bain, nutsa tu paatetala bain kayu uusundya' debuudi' ura' kikaanaa juve. Naa ne vee vee chachi deju' bain tsaatala uusundya' debuudinu, tsenmin ne vee vee kerangemu deju' bain tiba jutyuren uusundya' debuudinu kikaanaa juve. Tsenmin Naciones Unidas' taawasha tyeeba junu awakaren tsange' nuka bain peletu jutyu sunden chujnu taawasha juushu juntsanu, juntsangikaanaa juve.
26-03	Mu' mityaba apalaa deechu detave tina;ju kiika mijakara juu mijakaraa ya' kaillanu mijakaanu junu bain.
27-00	Articulo 27
27-01	Naaju chachilla bain lu'tsa' chunu tenanu ne ti juu ti kikemu judeenu bain tsaatala kive'nu ya bain ne tsangichi tyatu tsangenu deechu tave. Ne ti juu uukeraa kikemu deenu bain naa ne tiinuba tyashi' mijainunge' tsamantsa muba keenbashnuu kidekinu bain, ya bain tsaren juntsatala kive'nuu deechu tave, naa ne tsaanchi tinaaju kadekinu bain ya bain tsaren deechu tave kave'nu.
27-02	Naaju chachilla bain la:kakutinuu deechu detave ya tyee kemu juju' bain ya' pensa, naa ya' kenu katawadeishu juntsa juutala bain la'kakutinu deechu tave, ne yaa tiinl.lba tyashi' mi'ke' tsaanuve ti' katamu juju' bain, naa ne kiika pillanchi juu ke' faawareke' bain, naa ne uu keraa kike' bain, yaa tsaa kemushu juntsaa, juntsatala la'kakutinuu deechu tave.
28-00	Articulo 28
28-01	Ura uwain chachilla naadekisa tyanu bain tsange deshiikaanu, tsenmin matyu vee mujtu baa tusha bain tsange deshiikaasa tya' tsange deshiikaakaanu deechu detave naaju chachilla bain. Entsa Tsandi Depanu Kuindanu pudeeshu juntsa, ti kendennuba tsangenu dejaa ti' mubain mubain tsangenu deechu detaa tishu juntsanu, ura uwain tsangikaanu deechu detanave, naaju chachilla bain.
29-00	Articulo 29
29-01	Naaju chachilla bain, ya' chunu tenanu tinu bain keetadi' tin kikenu junu bain tsaatala mika keedinu juve, nejtun junaa ya muba bulla jutyu, ya ti ne juju' bain Kumuinchi juntsa, ne tyeeba ju' awakaren tsangenu ju' mitya.
29-02	Matyu main titi kenu deechu ta' bain juntsa deke', naa tyeenaajaa muba bulla jutyu ke' sundyanuu ju' bain juntsa kenutala tsangendu tichiba daakaranu jutyu tsangendu' bain, daakaranuu timiya, veela' deechu bain, naa veela bain yaibain muchiba" bulla jutyu ti kendya'ba tsangenutala, tsaa kikaariu ley riaatinuba juntsanu keetaditaa daakaraanu tinu juve. Tsenmin tsamantsa aa bulu paande juunuu mubain tsaren deechu deta kejtsapaatala naake pensang'emu deenu bain juntsanu keeditu, naa chachi dejutu riaa-i taatu ke'shili chunuu dejunu bain tsaanu dekeetaditaa, daakaraanu tinujuvemain.
29-03	Entsa deechu judeeshu juntsa bain, tsenmin naa muba bulla jutyu tikendennuba tsangenu judeeshu juntsatala bain, naake'ne Naciones Unidas tikikenu tyatuaa tsenmin naa naati patuaa tsangenu bain juntsanu shilijtushu juntsaya, ne juntsanu masmi' kenu pudendejutyuve.
30-00	Articulo 30
30-01	Entsa Tsandi Depanu Kuindanu pilla deeshu juntsa, naaki'ba naati'ba, ne ma aa tu sukunu, tsaityu'ba ma bulu chachillanu, tsaityu'ba ma chachinu, jatsange de'aseetange' ne enu pilla deeshu juntsa deechu manbirekenu kike, ne ti kendennuba muba bulla jutyu tsangenu judeeshu juntsatala bain, entsa Tsandi DepanuKuindanu mamushakenu aseetangenuu dejutyuve, naa mubain.
