00-00	[?]
14-01	thimaage visnun gengulhey gothun, thimaage qaaumuge sarukaarun thimaaaaamedhu ainsaafuverinoon gothakash aiamalea koshfaane kamash visnaai, aekamun salaamath vumash, aehen qaaumakun raakaatherikan hoadhaai, aegothun libey raakaatheri kamugaai hurumuge hhaaqu, konme meehakashme libigenveaeve.
14-02	aekuveri dhaaulaththakuge maqsadhuthakaaai ausooluthakaa khilaafu aiamaluthaa koshgen, nuvatha siyaaaasee kush noon aehen kushkushugaai dhaaiuvaa aufuley hhaalaththakugaai, mihhaaquge beynun hifevigen nuvaaneaeve.
15-00	15 vana maaadhaa
15-01	hama konme meehakashme, qaaumakash nisbath vumuge hhaaqu libigenveaeve.
15-02	aeaves meeheage qaaumee nisbathea, kandaaelhi bayaaaanvegenvaa qaanoonee hamathakeage mathin menuvee, nigulhaaiganevigen nuvaaneaeve. aadhi meeheage qaaumee nisbath badhalukurumuge hhaaquves, aefadha hamathakeage mathin menuvee nudhee, hifeheatigen nuvaaneaeve.
16-00	16 vana maaadhaa
16-01	kaaiveni kurumuge aiumurash aalhaafaaivaa konme firihenakashaaai aanhenakash, naslash nuvatha qaaumash nuvatha dheenash binaakosh aeaves hurahea kurimathivumea nethi, kaaiveni kurumaaai, aiaaailaaaea binaakurumuge hhaaqu libigenveaeve. kaaiveni kurumugayaaaaai, kaaiveneegaai dhemithibumugayaaaaai, aekaaiveni roolhaalumugaai, aemeehunnash hamahama hhaaquthakea libigen veaeve.
16-02	kaaivengnea kureveynee, kaaiveni kurumash aedhey meehunge, minivan aadhi furihama ruhun, aekaaivengnash libumun aekangneve.
16-03	aiaaailaaaakee mujuthamaaiu aemaachash binaavegenvaa thafaathu jamaaaiaththakuge thereygaai himeney thabaaiee aadhi aenme aasaasee jamaaaiatheve. aehenkamun mujuthamaaiaaai dhaaulathuge faraathun, raakaatherikan libigathumuge hhaaqu aiaaailaaaash libigen veaeve.
17-00	17 vana maaadhaa
17-01	hama konme meehakashme, thimaaaekani, nuvatha aehen bayaaakaa gulhigen namaves, mudhaa hoadhaai, milku kurumuge hhaaqu libigenveaeve.
17-02	aeaves meeheage kibaain, kandaaelhi bayaaaanvegenvaa qaanoonee hamathakeage mathin menuvee, aemeeheage mudhalea nigulhaai ganevin nuvaaneaeve.
18-00	18 vana maaadhaa
18-01	hama konme meehakashme, aemeehaku gaboolu kuranbeynunvaa gothakash kankan qaboolu kurumaaai, aemeeheage heyaaovisnumash fenna gothakash kankan visnumaaai, aemeehaku thabaavaan beynunvi dheenakash thabaavumuge minivankamuge hhaaqu libigenveaeve. mihhaaquge maanaaigaai, meehakash aemeeheage dheen badhalukurumuge hhaaqaaai, siarun nuvatha faalhugaai, thimaa aekani nuvatha bayaaakaaai aekugaai, aehen meehunnash aedheen aangaaidhigen nuvatha dheenugaaivaa gothash aulhegen, nuvatha aalhukan koshgen, nuvatha dheenugaaiva hamathakash thabaavegen, aeynaage dheen haamakurumuge hhaaqu himeneaeve.
19-00	19 vana maaadhaa
19-01	hama konme meehakashme, aemeehaku dheken beynunvaa gothakash dhushumaaai, aemeehaku haamakuranbeynunvaa kamea haamakurumuge minivankan libigen veaeve. mihhaaquge maanaaigaai, aeaves faraatheage nufoozeanethi, vaki gothakash visnun gengulhumaaai, aeaves kahala aimea hurahea nethi, aadhi konme fadha vaseelathea beynunkosh gen namaves, aekiaeki maaiuloomaathaaai aekiaeki khiyaaaalu hoadhumaaai, libigathumaaai, aekankan faalhukosh aangaaidhinumuge minivankan himeneaeve.
20-00	20 vana maaadhaa
20-01	hama konme meehakashme, sulhhaverikamaaaeku aeave aulhumaaai, jamaaaiaththaa hedhumuge minivankan libigenveaeve.
20-02	vaki jamaaaiathakash nisbath vumakash, meehakash majbooru kurevigen nuvaaneaeve.
21-00	21 vana maaadhaa
21-01	hama konme meehakashme, aemeeheage qaaumuge verikan hingumugaai, aamiala haaisiayaaathun, nuvatha minivankamaaaeku hovey mandhoobun medhuverikosh, baaiverivumuge hhaaqu libigenveaeve.
21-02	hama konme meehakashme, aeqaaumeage sarukaarundhey khidhumathash aedheveyne magu, fahivefaai aothumuge hhaaqu libigenveaeve.
21-03	sarukaaruge baaru binaavefaai aoth aasaasakash vaanvaanee raayaaithun aihhthiyaaaaru kosh, aedhey gotheve. raayaaithun aikhthiyaaaaru kosh, aedhey goth dhaakaaidhenee, vaki muadhathu thakakun beyavey, thedhuveri ainthikhaabuthakeage zareeaiaaainneve. mifadha ainthikhaabu thakakee, aiaaamukosh aenmennash, aeagotheage mathin hingaa ausooluthakeage mathin, hamahama gotheagaai, voatu lumuge hhaaqu libidhinumaaaeku, minivankamaaaeku siaru votu lumuge furusathu aoth, nuvatha minivankamaaaeku voatu lumuge aefadha aehen ausooluthaa qaaaimu kurevifaaivaa, ainthikhaabu thakakash vaanvaaneaeve.
22-00	22 vana maaadhaa
22-01	hama konme meehakashme, mujthamaaiuge farudhunge haaisiayaaathun, aijthimaaaiee raakaatherikan libigathumuge haaqu libigen veaeve. aadhi qaaumee fenvarugaai kurevey masaakathunnaaai, baainalaaqvaamee aeabaarulun hoadhaaigen kurevey kankamun, aadhi dhaaulathuge vaseelaththaa aefadhaain ainthizaam kosh tharutheebukoshgen, aevaseelaththaa niyaaaa kuraa gotheage mathin, meehaage shakhs minivankamaaaeku qaaaimkosh binaakurumashaaai, aeynaage qadharu hifeheatumaa gulhilaamehifaaivaa, aiqthisaadhee, aijthimaaaiee aadhi ttaqaafee hhaaquthaa, hoadhaai libigathumuge hhaaqu, libigenveaeve.
23-00	23 vana maaadhaa
23-01	hama konme meehakashme, masaakath kurumuge hhaaqaaai, aeynaa beynun vazeefaaaea aikhthiyaaaarukurumuge minivankamaaai, masaakath kurumugaai aiadhulveri, aadhi aekasheyna sharuthuthakeage mathin masaakath kurumuge hhaaqaaai, vazifaa nulibumun raakaatheri vumuge hhaaqu libigenveaeve.
23-02	hama konme meehakashme, hamahama masaakathash, hamahama aujoora, aeaves thafaathu kurumeanethi, libigathumuge hhaaqu libigen veaeve.
23-03	masaakath kuraa konme meehakashme, ainsaanaage kameyhithevigenvaa dharajaaaa aeafadha dhiriaulhumea, aeynaaaashaaai aeynaage aiaaailaaaash hoadhaaidhinumash beynunvaane minvarash, aiadhulveri aadhi aekasheyna, aujooraaea libigathumuge hhaaqu libigen veaeve. aadhi, aeminvaruge dhiriaulhumakash vaasiluveveynee aijthimaaaiee raakaatherikamuge aehen vaseelaththakea libigen kamash vaanama, aefadha vaseelaththaa libigathumuge hhaaquves aeynaaaash libigenveaeve.
23-04	hama konme mihakashme, aeynaage maslahhathu hhimaayaaath kurumuge gothun, masaakaththeringe jamaaaiaththaa hedhumaaai, aefadha jamaaaiaththakugaai baaiverivumuge hhaaqu libigenveaeve.
24-00	24 vana maaadhaa
24-01	hamakonme meehakashme, husvaguthaaai aaraamu hodhumuge hhaaqu libigen veaeve. masaakath kuranjehey vaguthu vaki minvarakash kandaaelhifaai aothumaaai, vakimuadhathea vandhen masaakath kurumun, musaaraaaaaeku chuatee libun himeney gothunneve.
25-00	25 vana maaadhaa
25-01	thimaage aamiala nafsashaaai, thimaage aiaaailaage menbarunnash, aekasheyna siahhatheagaai, dhulhaheyaaokanmathee aulheveyne fenvareage dhiriaulhumea, libigathumuge hhaaqu hama konme meehakashme libigenveaeve. kaanaaaaaai, aannaaunaaai, gedhoraaai, siahhee faruvaaaaaai, aadhi beynuntheri aijthimaaaiee khidhumaththaa himeney gothunneve. aadhi vazeefaaaea nethumun, nuvatha balivumun, nuvatha nukulhedhumun, nuvatha aanbi nuvatha firi maruvumun, nuvatha muskulhive dhuvas vumun, nuvatha aeynaage baarun beyru sababu thakakashtakaai dhiriaulheveyne gothea nethumun, raakaatherikan libigathumuige hhaaqu himeney gothunneve.
25-02	balive ainna dhuvasvaraaai, kudhinge lhaaumuruge dhuvasvarakee, khaaasa aeheetherikamaaai aoagaatherikan libigathumuge hhaaqu aoth dhuvasvarekeve. hurihaa kudheennakeeves aeaminvareage aijthimaaaiee raakaatherikan libun hhaaqu kudheenneve. kaaiveneege gulhumeage thereain libey kudhinnash nuvatha aefadha gulhumeage beyrun libey kudhinnashveenama veheve.
26-00	26 vana maaadhaa
26-01	hama konme meehakashme, thaaiuleemu aungenumuge hhaaqu libigenveaeve. aenme aasaasee aadhi aenme aibthidhaaaee fenvarugaai aekani namaves, aeaves aagea negumakaanulaai, thaaiuleemu aungenumuge furusathu libidheyn vaaneaeve. aibthidhaaaee thaaiuleemakee, hama konme meehakashme aungenun majubooru thaaiuleemekeve. vaki fannu thakeage thaaiuleemaaai vaki hunaruthakuge thaaiuleemakee, beynun bayaaakash hoadheyne gothuge mathin aiaanmukosh libenvaane thaaiuleemeve. aadhi mathee thaaiuleemu libigathumuge furusathakee, natheejaaaash binaakosh, hamahamakanmathee hoadhidhaane aeachakash vaan vaaneaeve.
26-02	thaaiuleemu dhinun aamaazu kuranvaanee ainsaanee shakhsu furihamaaash binaakurumashaaai, ainsaanee hhaaquthakaaai aasaasee minivankamuge minganduthakash hhurumaththerikosh hithun, harudhanaa kurumasheve. hurihaa qaaumuthakeage medhugayaaaaai, naslee jamaaaiaththakuge medhugaaaaai, dheenee jamaaaiaththakuge medhugaai, aonnanjehey dhekefaritha kamaaai, thafaathu khiyaaaaluthaa thahhaamalu kurumuge mizaajaaai, rahhmaththerikan, thaaiuleemuge thareeaiaaain aaalaakuran vaaneaeve. aadhi sulha qaaaimukosh dhemeheatumashtakaai, aekuveri dhaaulaththakun hingaa hharakaaththaa, thaaiuleemuge thareeaiaaain kuriaaruvan vaaneaeve.
26-03	kudhinnash dheyne thaaiuleemeage baavath aikhthiyaaaaru kurumuge ais hhaaqea, kudhinge maainbafaainnash libigenveaeve.
27-00	27 vana maaadhaa
27-01	hama konme meehakashme, mujuthamaaiuge ttaqaafee hhayaaaathugaai, minivankamaaaeku baaiverivumuge hhaaqu libigenveaeve. aadhi aiaanmu maaiuloomaathaaai fikree hunaruthaa shaauquverikamaaaeku balaaigathumaaai, saainsge rongun hoadhaa kuriaerunthakaaai aefadha kuriaerunthakun libidhey manfaa, hhiasaa kurumuge hhaaquves libigenveaeve.
27-02	hama konme meehakashme, saainsge rongun, nuvatha aadhabee rongun nuvatha fannuveri kamuge rongun meehaku aufaadhaa aeacheage maaadhee aadhi manaaqibee maslahhathuge hhimaayaaath, libigathumuge hhaaqu libigenveaeve.
28-00	28 vana maaadhaa
28-01	hama konme meehakashme, miqaraarun aekashaaalhaafaai mivaa hhaaquthakaaai minivankamuge minganduthaa aiamaleegothun hhaasilukoshdhey, aijthimaaaiee aadhi baainalaaqvaamee nizaamea, libigathumuge hhaaqu libigenveaeve.
29-00	29 vana maaadhaa
29-01	hama konme meehakashme, aemeeheage mujuthamaaiaa gulhigen aadhaakuranjehey ailthizaamuthakea veaeve. aemeeheage shakhsu minivankamaaaeku furihamaaash tharaaqee kureveyne hamaaekani gothakee aeailthizaamuthaa aufulumeve.
29-02	hama konme meehakume, aemeeheage hhaaquthakaaai minivankamuge minganduthakash aiamalu kurumugaai, aehhaaquthakash nuvatha aeminganduthakash, qaanoonugaai kandaaelhifaaivaa ainthakash thabaavaanvaaneaeve. qaanoonugaai aefadha ainthakea kandaaelheynee, aehen meehunge aefadha hhaaquthakaaai minivankamuge minganduthakash hhurumaththerikosh hithaai, aehhaaquthakash dheynvaa samaalukan dhinumuge gothunnaaai, dheemuqraatee mujuthamaaieagaai, ainsaafuge nazarun balaaairu aiamalu kurevenvaane manaaqibee hamathakashaaai, aiaanmu raakaatherikamashaaai, aiaanmu maslahhathash thabaavumuge gothunneve.
29-03	aekuveri dhaaulaththakuge maqsadhuthakaaai ausooluthakaa thaaiaaruduvaa gothakash, mihhaaquthakaaai minivankamuge minganduthakuge beynun, aeaves hhaaleagaai kurevigen nuvaaneaeve.
30-00	30 vana maaadhaa
30-01	miqaraarugaai aekashaaalhaafaaivaa hhaaquthakaaai minivankamuge minganduthaa nethikoshlumash aamaazukoshgen, aeaves hharakaathea hingumash nuvatha aiamalea kurumash, aeaves dhaaulathakash, nuvatha jamaaaiathakash, nuvatha meehakash aeaves hhaaqea miqaraarun libidhey kamakash, miqaraarugaai himeni aeaves maaadhaaaea tharujamaagenvaa kurevigen nuvaaneaeve.
