00-00	vrashtharn hq asasy mansy sjakt
01-00	vrkara 1.
01-01	smwa mansy dlahyrkn bybs dan samrat dry sky kmwlyan dan hq2. mryk mmvwnay vmykyrn dan vrasan haty dan hndqlh brtyndq d antara satw sam layen dnn smant vrsawdaran.
02-00	vrkara 2.
02-01	styav awrn 'dalh brhq kvd smwa hq2 dan kbybsn yn trmktwb dalm vrashtharn ayn, tnva sbarn av jwa vmbythan, svrty bnsa, wrna kwlyt, jntyna, bhas, akam, fhm vwlytyk ataw layen2 fhmn, asl aswl bnsa ktwrwnn ataw swsyal hrta bnda, klahyrn ataw av2 trf layen.
02-02	strwsn, tyad sbarn vmbythan bwlyh dbwat brasaskn vada trf vwlytyk ataw bydnkwas atawvwn antarabnsa ssbwah nkara ataw wlayh datnn ssawrn ayt, sam ayan mrdyk, bramanh, tnva vmrynthn sndyry ataw brad d bawh av2 sktn kdwltn layenn.
03-00	vrkara 3.
03-01	styav awrn 'dalh brhq kvd nawa, kbybsn dan kslamtn dyry.
04-00	vrkara 4.
04-01	tyad ssyava vwn bwlyh dvrhmba ataw dvr'bdykn; k'bdyn dan daknn hmba 'bdy hndqlh dlarn dalm smwa bntwqn.
05-00	vrkara 5.
05-01	tyad ssyava vwn bwlyh dknakn syqsan ataw laynn ataw hkwmn yn zalym, tydq brvrykmansyan ataw mnhynakn.
06-00	vrkara 6.
06-01	styav awrn 'dalh brhq kvd vny'trafn d man jwa sbakay sawrn ansan d sysy awndn2.
07-00	vrkara 7.
07-01	smwa awrn 'dalh samrat d sysy awndn2 dan brhq tnva av2 vmbythan kvd vrlyndwnn yn samrat d sysy awndn2. smwa awrn 'dalh brhq kvd vrlyndwnn yn samrat drvd sbarn vmbazan yn mlnkr vrashtharn ayn dan drvd sbarn haswtn trhadv vmbythan sdmkyn.
08-00	vrkara 8.
08-01	styav awrn 'dalh brhq kvd vmwlyhn yn brksn awlyh trybwnl2 kbnsan yn kwmvytyn trhadv tyndqn2 yn mlnkr hq2 asasy yn dbryknn awlyh vrlmbakan ataw awlyh awndn2.
09-00	vrkara 9.
09-01	tyad ssyava vwn bwlyh dknakn tnkvn, tahnn ataw vmbwann nkry stchara swynn wynnn.
10-00	vrkara 10.
10-01	styav awrn 'dalh brhq dnn samrat svnwhn kvd vmbytcharan 'adyl dan trbwk awlyh swatw trybwnl bybs dan sqsam, dalm vntvn hq2 dan tnkwnnn dan sbarn twdwhn jnayh trhadvn.
11-00	vrkara 11.
11-01	styav awrn yn dtwdwh dnn ksalhn ksksan 'dalh brhq dankv tydq salh shynk dbwqtykn salh mnwrwt awndn2 d dalm vrbytcharan trbwk d man dy tlh dbrykn skala jamynn yn vrlw awntwq vmblann.
11-02	tyad ssyava vwn bwlyh dvwtwskn brsalh ats sbarn ksalhn ksksan awlyh kran sbarn tyndqn ataw ktynkln yn tydq mrwvakn swatw ksalhn ksksan, d sysy awndn2 kbnsan ataw antarabnsa, vada mas ayan dlakwkn. tyad vwla bwlyh dknakn sbarn hkwmn yn lbyh brt dry hkwmn yn trvakay ktyk ksalhn ksksan ayt dlakwkn.
12-00	vrkara 12.
12-01	tyad ssyava vwn yn bwlyh dknakn kvd sbarn knkwan swynn wynnn trhadv kadan vrybady, klwark, rwmhtnk ataw swrt mnwrtn, ataw vrtchrwbwhn kats mrwah dan nam bayeqn. styav awrn brhq kvd vrlyndwnn awndn2 trhadv knkwan ataw vrtchrwbwhn sdmkyn.
13-00	vrkara 13.
13-01	styav awrn 'dalh brhq kvd kbybsn brkrq dan brmstwtyn d dalm smvadn ssbwah nkara.
13-02	styav awrn brhq mnynklkn man2 nkara, trmaswq nkaran sndyry, dan kmbaly smwla knkaran.
14-00	vrkara 14.
14-01	styav awrn brhq mmwhwn dan mn'mty vrlyndwnn vwlytyk dalm nkara layen drvd sbarn anyay.
14-02	hq ayn tydq bwlyh dtwntwt baky vnd'wan yn bnr2 tymbwl drvd ksalhn bwkn vwlytyk ataw drvd tyndqn yn brtntnn dnn twjwan2 dan vrynsyv2 bnsa2 brsatw.
15-00	vrkara 15.
15-01	styav awrn 'dalh brhq kvd swatw kwrkankaran.
15-02	tyad ssyava vwn bwlyh dlwtchwtkn kwrkankarann stchara swynn wynnn ataw dnafykn hq mnwkr kwrkankarann.
16-00	vrkara 16.
16-01	llaky dan vrmvwan dywas, tnva mnyra bnsa, kwrkankaran ataw akam, brhq brkhwyn dan mnwbwhkn klwark. mryk 'dalh brhq kvd hq2 samrat brhwbwn dnn vrkhwynn, dalm tymvwh mas vrkhwynn dan vada vmbwbrnn.
16-02	vrkhwynn han bwlyh dlqsanakn dnn vrstwjwan bybs dan svnwhn awlyh vyhq2 yn brtchadn awntwq brkhwyn.
16-03	klwark 'dalh ywnyt kwmvwln smwlajady dan asasy dalm msharkt dan 'dalh brhq kvd vrlyndwnn awlyh msharkt dan nkara.
17-00	vrkara 17.
17-01	styav awrn brhq mmylyqy hrta stchara brsndyryn srta stchara brkwnsy dnn awrn layen.
17-02	tyad ssyava vwn bwlyh dlwtchwtkn hrta bndan stchara swynn wynnn.
18-00	vrkara 18.
18-01	styav awrn 'dalh brhq kvd kbybsn brfykyr, vrasan haty dan akam; hq ayn trmaswqlh kbybsn mnwkr akam ataw kvrtchayann, dan kbybsn, smada stchara brsndyryn ataw stchara brsam sam dnn awrn2 layen dan stchara trbwk ataw brsndyry, mnanwty akam ataw kvrtchayann mlalwy vnajrn, 'mln, vmwjan dan vmatwhn.
19-00	vrkara 19.
19-01	styav awrn 'dalh brhq kvd kbybsn vndavt dan mnlwarkn fykyrn; hq ayn trmaswqlh kbybsn mmkn vndavt tnva knkwan dan mnwntwt, mnryma dan mnybarkn m'lwmt dan bwah fykyrn mlalwy sbarn mydya dan tnva mnyra smvadn.
20-00	vrkara 20.
20-01	styav awrn 'dalh brhq kvd kbybsn brhymvwn stchara aman dan mnwbwhkn vrsatwan.
20-02	tyad ssyava vwn bwlyh dvqsa mnjady ahly man2 vrtwbwhn.
21-00	vrkara 21.
21-01	styav awrn brhq mnmbyl bhakyn dalm krajan nkaran, stchara lnswn ataw mlalwy wakyl2 yn dvylyh dnn bybs.
21-02	styav awrn 'dalh brhq kvd vlwan samrat kvd vrkhdmtn 'wam dalm nkaran.
21-03	kmahwan r'yt hndqlh mnjady asas kwybawan krajan; kmahwan ayn hndqlh dbwqtykn mlalwy vylyhnray brkala yn sjaty yn man hndqlh dadakn stchara sjakt dan samrat dan hndqlh dadakn stchara awndy swlyt ataw mlalwy atchara vnwndyn bybs yn ktara.
22-00	vrkara 22.
22-01	styav awrn, sbakay ankwta msharkt, 'dalh brhq kvd kslamtn swsyal dans brhq mnjadykn swatw knatan, mlalwy awsha nkara dan krjasam antara bnsa dan mnwrwt awrkanysasy dan swmbr2 dalm nkara masyn2, hq2 aykwnwmy, swsyal dan kbwdayan yn trmsty baky kmwlyann dan vrkmbnn bybs kvrybadynn.
23-00	vrkara 23.
23-01	styav awrn 'dalh brhq kvd vkrjan, kvd vmylyhn vkrjann stchara bybs, kvd kadan2 vkrjan yn 'adyl dan brfayedh bakyn dan kvd vrlyndwnn drvd vnnkwrn.
23-02	styav awrn, tnva sbarn vmbythan, 'dalh brhq kvd vnkajyn yn sam baky krja yn sam.
23-03	styav awrn yn bkrja 'dalh brhq kvd vmbayrn saran yn 'adyl dan brfayedh bakyn yn man mmvstykn bwat dyry dan klwarkn swatw khydwvn ssway dnn kmwlyan mansy, dan yn man dtmbh, jk vrtw, awlyh tchara2 vrlyndwnn swsyal yn layenn.
23-04	styav awrn brhq mnwbwh dan mnjady ahly ksatwan skrja baky mmvrlyndwny kvntynn kvntynnn.
24-00	vrkara 24.
24-01	styav awrn 'dalh brhq kvd ryhat dan mas lavn, trmaswq batsn mnasbh kats mas bkrja dan tchwty brkajy yn brkala.
25-00	vrkara 25.
25-01	styav awrn 'dalh brhq kvd swatw trf hydwv yn mmadaye baky ksyhtn dan kbajyqn dyry dan klwarkn, trmaswqlh maknn, vakayn, vrwmhn dan vnawsn vrawbtn srta vrkhdmtn swsyal yn vrlw, dan brhq kvd vrlyndwnn ktyk brlakwn vnnkwrn, ksakytn, ktydqawvayan, dvrjndan, k'zwrn ataw layen2 kkwrnn khydwvn dalm kadan d lwar kawlnn.
25-02	aybw dan anq 'dalh brhq kvd jakan srta bntwan khas. smwa kanq2, smada dlahyrkn d dalm mahwvwn d lwar nkah, hndqlh mn'mty vrlyndwnn swsyal yn sam.
26-00	vrkara 26.
26-01	styav awrn 'dalh brhq kvd vlajrn. vlajrn hndqlh dbrykn vrtchwma, skwrn kwrnn vada vrynkt awl dan asasn. vlajrn vrynkt awl hndqlh dwajbkn. vlajrn tyknykl srta vrwfysywnl hndqlh dsdyakn awntwq 'mwm dan vlajrn tynky hndqlh mmvwnay aksys yn samrat kvd smwa awrn ats dasr kbwlyhn.
26-02	vlajrn hndqlh dtwjwkn kvd vrkmbnn svnwhn kvrybadyn mansy dan karh mmvrkwkwhkn laky ras hrmt baky hq2 dan kbybsn asasy mansy, lan hndqlh mmwvwq vrsfhmn, ksbrn dan vrshabtn d kalnn smwa nkara, bnsa ataw kwmvwln2 akam, dan hndqlh mmajwkn skala kkyatn bnsa2 brsatw dmy mmlyhara kamann.
26-03	aybw bav mmvwnay hq trdhwlw awntwq mmylyh jnys vlajrn yn akn dbrykn kvd anq2 mryk.
27-00	vrkara 27.
27-01	styav awrn brhq stchara bybs mnmbyl bhakyn dalm kkyatn kbwdayan msharktn, mn'mty ksnyn dan sam2 mrasaye kmajwan sayens dan fayedh fayedhn.
27-02	styav awrn 'dalh brhq kvd vrlyndwnn kvntynn2 mwrl dan kbndan hasyl dry sbarn vnhasyln sayens, kswsstran ataw ksnyn yn man ayan 'dalh vntchyvtan.
28-00	vrkara 28.
28-01	styav awrn 'dalh brhq kvd swatw swswnn swsyal dan antarabnsa dalm man hq2 asasy dan kbybsn yn trmktwb dalm vrashtharn ayn bwlyh djadykn knatan svnwhn.
29-00	vrkara 29.
29-01	styav awrn mmvwnay kwajyvn trhadv msharkt han dalm man vrkmbnn kvrybadynn stchara bybs dan slwrwhn trmwnkyn.
29-02	dalm mn'mlkn hq2 dan kbybsnn, styav awrn trt'lwq han kvd batsn2 svrty yn dtntwkn awlyh awndn2 smata mat baky twjwan mnjamyn vny'trafn dan vnhrmtn yn svatwtn trhadv hq2 dan kbybsn awrn layen dan awntwq mndkty kvrlwan2 svatwtn baky akhlaq, ktntrmn 'wam dan kbajyqn 'mwm dalm swatw msharkt yn dymwkratyk.
29-03	hq2 dan kbybsn ayn tydq bwlyh sam skaly d'mlkn stchara brtntnn dnn twjwan2 dan vrynsyv2 bnsa2 brsatw.
30-00	vrkara 30.
30-01	tyad av2 jwa dalm vrashtharn ayn bwlyh dtfsyrkn sbaky sdya trsyrt mmbrykn kvd man2 nkara, kwmvwln ataw vrsawrnn sbarn hq awntwq mlybtkn dyry dalm av2 kkyatn ataw mlakwkn av2 vrbwatn dnn twjwan mmwsnhkn av2 hq dan kbybsn yn trmktwb dalm vrashtharn ayn.
