00-00	a'lamih jhani hqwq bshr
07-01	hmh dr brabr qanwn msawi hstnd w hq darnd bdwn tb'id w balswih az hmait qanwn brkhwrdar shwnd. hmh hq darnd dr mqabl hr tb'idi kh naqd a'lamih hadr bashd w br 'lih hr thriki kh brai tchnin tb'idi b'ml aid btwr tsawi az hmait qanwn bhrhmnd shwnd.
08-00	madh' hshtm
08-01	dr brabr a'mali kh hqwq asasi frd ra mwrd tjawz qrar bdhd w an hqwq bwsilh qanwn asasi ia qanwn digri brai aw shnakhthshdh bashd, hr ks hq rjw' mw'thr bmhakm mlii salhh dard.
09-00	madh' nhm
09-01	ahdi nmitwand khwdsranh twqif - hbs ia tb'id bshwd.
10-00	madh' dhm
10-01	hr ks ba msawat kaml hq dard kh d'waish bwsilh dadgah mstql w bitrfi, mnsfanh w 'lnan rsidgi bshwd w tchnin dadgahi drbarh hqwq w alzamat aw ia hr atham jzayei kh baw twjh pida krdh bashd a'tkhath tsmim bnmaid.
11-00	madh' iazdhm
11-01	hr ks kh bh bzhkari mthm shdh bashd bignah mhswb khwahd shd ta wqtikh dr jrian ik d'wai 'mwmi kh dr an klih tdminhai lazm brai dfa' aw ta'min shdh bashd tqsir aw qanwnan mhrz grdd.
11-02	hitchks brai anjam ia 'dm anjam 'mli kh dr mwq' artkab, an 'ml bmwjb hqwq mli ia binalmlli jrm shnakhth nmishdh ast mhkwm nkhwahd shd. bhmin triq hitch mjazati shdidtr az antchh kh dr mwq' artkab jrm bdan t'lq migrft drbarh ahdi a'mal nkhwahd shd.
12-00	madh' dwazdhm
12-01	ahdi dr zndgi khswsi, amwr khanwadgi, aqamtgah ia mkatbat khwd, nbaid mwrd mdakhlhhai khwdsranh waq' shwd w shraft w asm w rsmsh nbaid mwrd hmlh qrar gird. hr ks hq dard kh dr mqabl ingwnh mdakhlat w hmlat mwrd hmait qanwn qrar gird.
13-00	madh' sizdhm
13-01	hr ks hq dard kh dr dakhl hr kshwri azadanh 'bwr w mrwr knd w mhl aqamt khwd ra antkhab nmaid.
13-02	hr ks hq dard hr kshwri w az jmlh kshwr khwd ra trk knd ia bh kshwr khwd baz grdd.
14-00	madh' tchhardhm
14-01	hr ks hq dard dr brabr t'qib shknjh w azar pnahgahi jstjw knd w dr kshwrhai digr pnah akhtiar knd.
14-02	dr mwrdi kh t'qib waq'an mbtni bjrm 'mwmi w ghirsiasi ia rftarhayei mkhalf ba aswl w mqasd mll mthd bashd, nmitwan az in hq astfadh nmwd.
15-00	madh' panzdhm
15-01	hr ks hq dard kh darai tab'it bashd.
15-02	ahdi ra nmitwan khwdsranh az tab'it khwd ia az hq tghiir tab'it mhrwm krd.
16-00	madh' shanzdhm
16-01	hr zn w mrd balghi hq darnd bdwn hitchgwnh mhdwdit az nzr njad, mlit, tab'it ia mthhb ba hmdigr znashwyei knnd w tshkil khanwadh dhnd. dr tmam mdt znashwyei w hngam anhlal an, zn w shwhr dr klih amwr mrbwt bazdwaj, darai hqwq msawi mibashnd.
16-02	azdwaj baid ba rdait kaml w azadanh' zn w mrd waq' shwd.
16-03	khanwadh rkn tbi'i w asasi ajtma' ast w hq dard az hmait jam'h w dwlt bhrhmnd shwd.
17-00	madh' hfdhm
17-01	hr shkhs mnfrda ia btwr ajtma'i hq malkit dard.
17-02	ahdi ra nmitwan khwdsranh az hq malkit mhrwm nmwd.
18-00	madh' hijdhm
18-01	hr ks hq dard kh az azadi fkr, wjdan w mthhb bhrhmnd shwd. in hq mtdmn azadi tghiir mthhb ia 'qidh w hmtchnin mtdmn azadi azhar 'qidh w iman mibashd w niz shaml t'limat mthhbi w ajrai mrasm dini ast. hr ks mitwand az in hqwq mnfrdan ia mjtm'an btwr khswsi ia btwr 'mwmi brkhwrdar bashd.
19-00	madh' nwzdhm
19-01	hr ks hq azadi 'qidh w bian dard w hq mzbwr shaml anst kh az dashtn 'qaid khwd bim w adtrabi ndashth bashd w dr ksb atla'at w afkar w dr akhth w antshar an btmam wsayel mmkn w bdwn mlahzat mrzi azad bashd.
20-00	madh' bistm
20-01	hr ks hq dard azadanh mjam' w jm'ithai msalmtamiz tshkil dhd.
20-02	hitchks ra nmitwan mjbwr bshrkt dr ajtma'i krd.
21-00	madh' bist w ikm
21-01	hr ks hq dard dr adarh amwr 'mwmi kshwr khwd, khwah mstqima w khwah ba wsatt nmaindgani kh azadanh antkhab shdh bashnd shrkt jwid.
21-02	hr ks hq dard ba tsawi shrait, bmshaghl 'mwmi kshwr khwd nayel aid.
21-03	asas w mnsha qdrt hkwmt, aradh' mrdm ast, in aradh baid bwsilh antkhabati abraz grdd kh az rwi sdaqt w btwr adwari swrt pthird. antkhabat baid 'mwmi w ba r'ait msawat bashd w ba ra'i mkhfi ia triqhi nzir an anjam gird kh azadi ra'i ra ta'min nmaid.
22-00	madh' bist w dwm
22-01	hr ks b'nwan 'dw ajtma' hq amnit ajtma'i dard w mjaz ast bwsilh msa'i mli w hmkari binalmlli hqwq aqtsadi w ajtma'i w frhngi khwd ra kh lazmh' mqam w nmwd azadanh shkhsit aw ast ba r'ait tshkilat w mnab' hr kshwr bdst awrd.
23-00	madh' bist w swm
23-01	hr ks hq dard kar knd, kar khwd ra azadanh antkhab nmaid, shrait mnsfanh w rdait bkhshi brai kar khwastar bashd w dr mqabl bikari mwrd hmait qrar gird.
23-02	hmh hq darnd kh bdwn hitch tb'idi, dr mqabl kar msawi, ajrt msawi driaft darnd.
23-03	hr ks kh kar miknd bmzd mnsfanh w rdait bkhshi thihq mishwd kh zndgi aw w khanwadhash ra mwafq shyewn ansani ta'min knd w anra dr swrt lzwm ba hr nw' wsayel digr hmait ajtma'i tkmil nmaid.
23-04	hr ks hq dard kh brai dfa' az mnaf' khwd ba digran athadih tshkil dhd w dr athadihha niz shrkt knd.
24-00	madh' bist w tchharm
24-01	hr ks hq astraht w fraght w tfrih dard w bkhsws bmhdwdit m'qwl sa'at kar w mrkhsihai adwari ba akhth hqwq thihq mibashd.
25-00	madh' bist w pnjm
25-01	hr ks hq dard kh sth zndgani w slamti w rfah khwd w khanwadhash ra az hith khwrak w mskn w mraqbthai tbi w khdmat lazm ajtma'i ta'min knd w hmtchnin hq dard kh dr mwaq' bikari, bimari, nqs a'da', biwgi, piri ia dr tmam mward digri kh b'll kharj az ardh' ansan wsayel  amrar m'ash az dst rfth bashd az shrait abrwmndanh zndgi brkhwrdar shwd.
25-02	madran w kwdkan hq darnd kh az kmk w mraqbt mkhswsi bhrhmnd shwnd. kwdkan tchh br athr azdwaj w tchh bdwn azdwaj bdnia amdh bashnd, hq darnd kh hmh az iknw' hmait ajtma'i brkhwrdar shwnd.
26-00	madh' bist w shshm
26-01	hr ks hq dard kh az amwzsh w prwrsh bhrhmnd shwd. amwzsh w prwrsh laaql ta hdwdi kh mrbwt bt'limat abtdayei w asasi ast baid mjani bashd. amwzsh abtdayei ajbari ast. amwzsh hrfhi baid ba shrait tsawi kaml brwi hmh baz bashd ta hmh bna bast'dad khwd btwannd az an bhrhmnd grdnd.
26-02	amwzsh w prwrsh baid twri hdait shwd kh shkhsit ansani hr ks ra bhd akml rshd an brsand w ahtram hqwq w azadihai bshr ra tqwit knd. amwzsh w prwrsh baid hsn tfahm, gthsht w ahtram 'qaid mkhalf w dwsti bin tmam mll w jm'ithai njadi ia mthhbi w hmtchnin tws'h f'alithai mll mthd ra dr rah hfz slh tshil nmaid.
26-03	pdr w madr dr antkhab nw' amwzsh w prwrsh frzndan khwd nsbt bdigran awlwit darnd.
27-00	madh' bist w hftm
27-01	hr ks hq dard azadanh dr zndgi frhngi ajtma'i shrkt knd, az fnwn w hnrha mtmt' grdd w dr pishrft 'lmi w fwayed an shim bashd.
27-02	hr ks hq dard az hmait mnaf' m'nwi w madi athar 'lmi, frhngi ia hnri khwd brkhwrdar shwd.
28-00	madh' bist w hshtm
28-01	hr ks hq dard brqrari nzmi ra bkhwahd kh az lhaz ajtma'i w binalmlli hqwq w azadihayei ra kh dr in a'lamih thkr grdidh ast ta'min knd w anha ra bmwrd 'ml bgthard.
29-00	madh' bist w nhm
29-01	hr ks dr mqabl an jam'hi wzifh dard kh rshd azad w kaml shkhsit aw ra misr sazd.
29-02	hr ks dr ajrai hqwq w astfadh az azadihai khwd fqt tab' mhdwdithayeist kh bwsilh' qanwn mnhsran bmnzwr ta'min shnasayei w mra'at hqwq w azadihai digran w brai r'ait mqtdiat shih akhlaqi w nzm 'mwmi w rfah hmgani dr shrait ik jam'h dmwkratik wd' grdidh ast.
29-03	in hqwq w azadiha dr hitch mwrdi nmitwand br khlaf mqasd w aswl mll mthd ajra grdd.
30-00	madh' siam
30-01	hitchik az mqrrat a'lamih hadr nbaid twri tfsir shwd kh mtdmn hqi brai dwlti ia jm'iti ia frdi bashd kh bmwjb an btwannd hr ik az hqwq w azadihai mndrj dr in a'lamih ra az bin bbrnd w ia dr an rah f'aliti bnmaid.
