00-00	دۇنيا كىشىلىك ھوقۇقى خىتابنامىسى
01-00	1 ماددا
01-01	ھەممە ئادەم زانىدىنلا ئەركىن، ئىززەت-ھۆرمەت ۋە ھوقۇقتا باپباراۋەر بولۇپ تۇغۇلغان. ئۇلار ئەقىلغە ۋە ۋىجدانغا ئىگە ھەمدە بىر-بىرىگە قېرىنداشلىق مۇناسىۋىتىگە خاس روھ بىلەن موئامىلە قىلىشى كېرەك.
02-00	2 ماددا
02-01	ھەممە ئادەم  مۇشۇ خىتابنامىدە قەيت قىلىنغان بارلىق ھوقۇق ۋە ئەركىنلىكتىن بەھرىمەن بولۇش سالاھىيىتىگە ئىگە. ئۇلار ئىرقى، رەڭگى، جىنسى، تىلى، دىنى، سىياسىي قارىشى ياكى باشقا قارىشى، دۆلەت تەۋەلىكى ياكى ئىجتىمائىي كېلىپ چىقىشى، مۈلكى، تۇغۇلۇشى ياكى باشقا سالاھىيىتى جەھەتتىن قىلچە پەرقلەنمەيدۇ.
02-02	ئۇنىڭ ئۇستىگە ھەممە ئادەم ئوزى تەۋە دۆلەت ياكى زېمىننىڭ سياسىي، مەمۇرىي لاكى خەلقئارا ئورنىنىڭ ئوخشاش بولماسلىقى بىلەن پەرقلەنمەيدۇ. بۇ زېمىننىڭ مۇستەقىل زېمىن، ۋاكالىتەن باشقۇرۇلۇۋاتقان زېمىن، ئاپتونومىيىسىز زېمىن ياكى باشقا ھەرقانداق ىگىلىك ھوقۇقىغا چەك قويۇلغان ھالەتتىكى زېمىن بولۇشىدىن قەتئىينەزەر.
03-00	3 ماددا
03-01	ھەممە ئادەم ھاياتلىقتىن، ئەركىنلىكتىن ۋە جىسمانىي بىخەتەرلىكتىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
04-00	4 ماددا
04-01	ھەرقانداق ئادەمنى قۇل قىلىشقا ياكى قۇل قاتارىدا ئىشلىتىشكە بولمايدۇ. ھەرقاندقاق شەكىلدىكى قۇللۇق توزۇمنىمۇ، قۇللارنى ئېلىپ-سېتىشنىمۇ مەنئى قىلىش كېرەك.
05-00	5 ماددا
05-01	ھەرقانداق ئادامنى رەھىمسىزلىك بىلەن قىيناشقا ياكى ۋەھشىي، ئىنسانىيەتسىز ياكى جاقارەت خاراكتېرلىك مۇئامىلىگە ياكى جازاغا دۇچار قىلىشقا بولمايدۇ.
06-00	6 ماددا
06-01	ھەممە ئادەم ھەرقانداق جايدا قانۇن ئالدىدىكى كىشىلىك ئىززىتىنى ئېتىراپ قىلدۇرۇشقا ھوقۇقلۇق.
07-00	7 ماددا
07-01	ھەممە ئادەم قانۇن ئالدىدا بابباراۋەر ھەمدە قىلچە كەمسىتىلمەي، قانۇننىڭ باراۋەر قوغدىشىدىن بەھرىمەن بولۇشقا ھوقۇقلۇق. ھەممە ئادەم مۇشۇ خىتابنامىگە خىلاپ ھەرقانداق كەمسىتىشتىن ۋە مۇشۇنداق كەمسىتىشكە تۇرتكە بولىدىغان قىلمىشنىڭ زىيانكەشلىكدىن ساقلىنىش ۈچۈن، باراۋەر قوغداشتىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
08-00	8 ماددا
08-01	ھەرقانداق ئادەم ئوزىنىڭ ئاساسىي قانۇن ياكى قانۇنلار بەخش ئەتكەن اساسىي ھوقۇقى زىيانكەشلىككە ئۇچرىغاندا، لاياقەتلىك دۆلەت سوتى ئارقىلىق بۇنداق زىيانكەشلىك ھەرىكىتىدىن ئۇنۇملۇك قۇتۇلۇپ قېلىشقا ھوقۇقلۇق.
09-00	9 ماددا
09-01	ھەرقانداق ئادەمنى ھەرقانداق شەكىلدە قولغا ئېلىشقا، نەزەر بەنت قىلىشقا ياكى سۈرگۈن قىلىشقا بولمايدۇ.
10-00	10 ماددا
10-01	ھەممە ئادەم مۇستەقىل ھەم خالىس سوتنىڭ ئادىل ۋە ئوچۇق سوراق قىلىشى بىلەن ئۆزىنىڭ ھوقۇقى ۋە مەجبۇرىيىتىنى مۇئەييەنلەشتۇرۇشكە ھەمدە ئۆزىگە قويۇلغان ھەرقانداق جىنايى ئەيىبنى ئېنىقلىۋېلىشقا پۈتۈنلەي ھوقۇقلۇق.
11-00	11 ماددا
11-01	جىنايى ئىشلار بىلەن ئرز قىلىنغانلىكى ادەم ئقلاش جەھەتتە لازىملىق بارلىق كاپالەتكە ئېرىشكەن ئاشكارا سوتتا جىنايىتى بارلىى قانۇن بويىچە دەلىللەنگىچە گۇناھسىز دەپ قارىلىشقا ھوقۇقلۇق.
11-02	ھەرقانداق ئادەمنىڭ ھەرقانداق قىلمىشى ياكى قىلمىشسىزلىقى سادىر بولغان ۋاقتىدا دۆلەت قانۇنى ياكى خەلقئارا قانۇن بويىچە جىنايى ئىشلار جىنايىتىنى شەكىللەندۇرمىكەن بولسا، جىنايى ئىشلار جىنايىتىنى ئۆتكۈزگەن دەپ ھۆكۈم چىقىرىشقا بولمايدۇ. جىنايى جازا جىنايەت ئۆتكۈزگەندە تەتبىق قىلىندىغان قانۇندىكى بەلگىلىمىلەردىكىدىن ئېغىرلىتىۋېتىلسە بولمايدۇ.
12-00	12 ماددا
12-01	ھەرقانداق ئادەمنىڭ خۇسۇسىي تۇرمۇشىغا، ئاىلىسىگە، تۇرالغۇ جايىغۇ ۋە خەت-ئالاقىسىگە خالىغانچە ئارىلىشىۋېلىشقا بولمايدۇ. ئۇنىڭ شەنى ۋە شۆھرىتىگە ھۇجۇم قىلىشقا بولمايدۇ. بۇنداق ئارىلىشىشتىن ياكى ھۇجۇمدىن ساقلىنىش ئۈچۈن، ھەممە ئادەم قانۇننىڭ قوغدىشىدىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
13-00	13 ماددا
13-01	ھەممە ئادەم ھەرقايسى دۆلەتلەرنىڭ زېمىنىدا ئەركىن كوچۇشكە ۋە ئولتۇراقلىشىشقا ھوقۇقلۇق.
13-02	ھەممە ئادەم ھەرقانداق دۆلەتتىن كېتىشكە، جوملىدىن ئۆز دۆلىتىدىن كېتىشكە ھوقۇقلۇق ھەمدە ئۆزىنىڭ دۆلىتىگە قايتىپ كېلىشكە ھوقۇقلۇق.
14-00	14 ماددا
14-01	ھەممە ئادەم زىيانكەشلىكتىن ساقلىنىش ئۈچۈن، باشقا دۆلەتلەردە پاناھ تىلەشكە ۋە پاناھلىنىشقا ھوقۇقلۇق.
14-02	ھەقىقەتەن غەيرىي سىياسىي جىنايەت ياكى بىرلەشكەن دۆلەتلەر تەشكىلاتىنىڭ اساسىي مەقسىتى ۋە پرىنسىپىغا خىلاپ قىلىش بىلەن ئەيىبلەنگەن ئەھۋال استىدا، بۇنداق ھوقۇقتىن پايدىلىنىشقا بولمايدۇ.
15-00	15 ماددا
15-01	ھەممە  ئادەم دۆلەت تەۋەلىكىدىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
15-02	ھەرقانداق ئادەمنى دۆلەت تەۋەلىكىدىن خالىغانچە مەھرۇم قىلىشقا بولمايدۇ. ۇنىڭ دۆلەت تەۋەلىكىنى ئۆزگەرتىش ھوقۇقىنى ئىنكار قىلىشقىمۇ بولمايدۇ.
16-00	16 ماددا
16-01	ياش قورامىغا يەتكەن ئەر-ئاياللار ئىرق. دۆلەت تەۋەلىكى ۋە دىن جەھەتتىن ھەرقاندقا چەكلىمىگە ئۇچرىماي، تويلىشىشقا ۋە ئۆي تۇتۇشقا ھوقۇقلۇق. ئۇلار نىكاھ جەھەتتە، توي قىلغان مەزگىلدە ۋە نىكاھ توختىمى بىكار قىلىنغاندا، باراۋەر ھوقۇققا ئىگە بولۇشى كېرەك.
16-02	ئەر تەرەپ بىلەن ئايال تەرەپنىڭ ئىختىيار قىلىشى ۋە تامامەن ماقۇل بولۇشى ئارقىسىدىلا توي قىلىشقا بولىدۇ.
16-03	ئائىلە تەبىئىي ۋە ئاساسىي ئىجتىمائىي بىرلىك، ئو جەمئىيەت ۋە دۆلەت تەرپىدىن قوغدىلىشقا تېگىشلىڭ.
17-00	17 ماددا
17-01	ھەممە ئادەمنىڭ مۈلۈككە ئوڭچە ئىگىدارلىق قىلىش ھوقۇقى شۇنىڭدەك باشقىلار بىلەن شېرىكلىشىپ ئىگىدارلىق قىلىش ھوقۇقى بولۇشى كېرەك.
17-02	ھەرقانداق ئادەمنى مال-مۈلكىدىن خالىغانچە مەھرۇم قىلىشقا بولمادۇ.
18-00	18 ماددا
18-01	ھەممە ئادەم ئىدىيىۋى، ۋىجدانىي ۋە دىنىي ئەركىنلىك ھوقۇقىغق ئىگە: بۇ ھوقۇق شۇ ئادەمنىڭ ئۆزىنىڭ دىنىنى ياكى ئېتىقادىنى ئۆزگەرتىش ئەركىنلىكىنى شۇنىڭدەك ئۆزىنىڭ دىنى ياكى ئېتىقادىنى دىنىي ئېقىدە، ئەمەلىيەت، ناماز-ئىبادەت ۋە ئەمرىمەرۇپ ئارقىلىق يالغۇز ياكى ئۆم، ئاشكارا ياكى مەخپىي ئىپادىلەش ئەركىنلىكىنى ئۆز ئىچىگە ئالىدۇ.
19-00	19 ماددا
19-01	ھەممە ئادەم ئۆز تەشەببۇسىنى بىلدۈرۈش ۋە پىكىر بايان قىلىش ئەركىنلىكىدىن بەھرىمەن بولۇشقا ھوقۇقلۇق؛ بۇ ھوقۇق مۇداخىلىگە ئۇچرىماي ئۆز تەشەببۇسىنى ساقلاپ قېلىش ئەركىنلىكىنى ۋە ئۇچۇر ھەم پىكىرلەرنى ھەرقانداق ۋاسىتە ئارقىلىق ۋە دۆلەت ئايرىمىسىغا قارىماي ئىزدەش، قوبۇل قىلىش ۋە تارقىتىش ئەركىنلىكىنى ئۆز ئىچىگە ئالىدۇ.
20-00	20 ماددا
20-01	ھەممە ئادەم تىنچ يول بىلەن يىغىن ئۆتكۈزۈش ۋە تەشكىلانلار ئۇيۇشۇش ئەركىنلىكىدىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
20-02	ھەرقانداق ئادەمنى مەلۇم بىر تەشكىلاتنىڭ تەۋەلىكىگە ئۆتۈشكە زورلاشقا بولمايدۇ.
21-00	21 ماددا
21-01	ھەممە ئادەم دۆلەتنى ئىدارە قىلىشقا ئۆزى بىۋاستە قاتنىشىش ياكى ئۆزى ئەركىن تاللىغان ۋەكىلى ئارقىلىق قاتنىشىش ھوقۇقىغا ئىگە.
21-02	ھەممە ئادەم ئۆز دۆلىتىنىڭ ھۆكۈمەت ئىشلىرىغا باراۋەر پۇرسەت بىلەن  قاتنىشىش ھوقۇقىغا ئىگە.
21-03	خەلقنىڭ ئىرادىسى ھۆكۈمەت ھوقۇقىنىڭ ئاساسى: بو ئىرادە قەرەللىك ۋە ھەقىقىي سايلام بىلەن ئىپادىلىنىشى كېرەك. سايلام ئومۇميۈلۈك ۋە باراۋەر ئاۋاز بېرىش ھوقۇقىغا ئاساسلىنىشى ھەمدە يوشۇرۇن ئاۋاز بېرىش ياكى ئوبدانلا ئەركىن ئاۋاز بېرىش بويىچە ئەلىپ بېرىلىشى كېرەك.
22-00	22 ماددا
22-01	ھەر بىر ئادەم جەمئىيەتنىڭ بىر ئازاسى بولۇش سۈپىتى بىلەن، ئىجتىمائىي كاپالەتتىن بەھرىمەن بولۇشقا ھوقۇقلۇق ھەمدە ئۆزىنىڭ شەخسىي ئىززەت-ھۆرمىتى ۋە كىشىلىك غۇرۇرىنىڭ ئەركىن راۋاجلىنىشى ئۈچۈن زۆرۈر بولغان ئىقتىسادىي، ىجتىمائىي جەھەتتىكى ۋە مەدەنىيەت جەھەتتىكى ھەر خىل ھوقۇقلاردىن بەھرىمەن بولۇشنى ئەمەلگە ئاشۇرۇشقا ھوقۇقلۇق. بۇ ئەمەلگە ئاشۇرۇش دۆلەتنىڭ تىرىشچانلىقى ۋە خەلقئىارا ھەمكارلىق ئارقىلىق ھەمدە ھەرقايىسى دۆلەتلەرنىڭ تەشكىلاتى ۋە بايلىق ئەھۋالى بويىچە بولىدۇ.
23-00	23 ماددا
23-01	ھەممە ئادەم ئىشلەشكە، ئەركىن كەسىپ تاللاشقا، ئادىل ۋە مۇۋابىق خىزمەت شارائىتىدىن بەھرىمەن بولۇشقا ھەمدە ئىشسىز قېلىشتىن ساقلىنىش كاپالىتىدىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
23-02	ھەممە ئادەم ھەرقانداق شەكىلدە كەمسىتىلمەي، ئوخشاش ئىش ئۈچۈن ئوخشاش ھەق ئېلىش ھوقۇقىغا ئىگە.
23-03	ئىشلىگەن ئادەمنىڭ ھەر بىرى ئادىل ۋە مۇۋاپىق ھەقتىن بەھرىمەن بولۇشقا، ئۆزىنىڭ ۋە ئائىلە تاۋابىئاتىنىڭ ئىنسانىي ىززەت-ھۆرمەتكە لايىق تۇرمۇش شارائىتىغا ئىگە بولۇشىنى كاپالەتكە ئىگە قىلىشقا، زۆرۈر تېپىلغاندا. ئۇنىڭغا باشقا ئىجتىمائىيى كاپالەتنى قوشۇمچە قىلىشقا ھوقۇقلۇق.
23-04	ھەممە ئادەم ئۆزىنىڭ مەنپەئىتىنى قوغداش ئۈچۈن، ئىشچىلار ئۇيۇشمۇسىنى تەشكىللەش ۋە ئۇنىڭغا قاتنىشىش ھوقۇقىغا ئىگە.
24-00	24 ماددا
24-01	ھەممە ئادەم دەم ئېلىش ۋە بىكار يۈرۈش ھوقۇقىدىن، جۇملىدىن ئىش ۋاقتىنىڭ چېكىنى ئەقىلگە مۇۋاپىقلاشتۇرۇش ھەمدە قەرەللىك، مائاشلىق دەم ئېلىش ھوقۇقىدىن بەھرىمەن بولىدۇ.
25-00	25 ماددا
25-01	ھەممە ئادەم ئۆزىنىڭ ۋە ئائىلە تاۋابىئاتىنىڭ سالامەتلىكى ۋە پاراۋانلىقىنى كاپالەتكە ئىگە قىلىش ئۈچۈن زۆرۈر بولغان تۇرمۇش سەۋىيىسىدىن، جۇملىدىن يېمەكلىك، كىيىم-بېچەك، تۇراغۇ ئۆي، داۋالىنىشتىن ۋە زۆرۈر ئىجتىمائىي مۇلازىمەتچىلىكتىن بەھرىمەن بولۇش ھوقۇقىغا ئىگە: ىشسىز قالغاندا، كېسەل بولۇپ قالغاندا، مەجرۇھ بولۇپ قالغاندا، تۇل قالغاندا، قېرىغاندا ياكى تىزگىنلىگىلى بولمادىغان باشقا ئەھۋال بىلەن تىرىكچىلىك ئىقتىدارىنى يوقاتقاندا، كاپالەتتىن بەھرىمەن بولۇشقا ھوقۇقلۇق.
25-02	ئانىلار ۋە بالىلار ئالاھىدە ئېتىباردىن ۋە ياردەمدىن بەھرىمەن بولۇشقا ھوقۇقلۇق. بارلىق بالىلار نىكاھلىق ياكى نىكاھسىز تۇغۇلغانلىقىغا قارىماي، ئوخشاش ئىجتىمائىي مۇھاپىزەتتىن بەھرىمەن بولۇشقا تېگىشلىك.
26-00	26 ماددا
26-01	ھەمە ئادەم بىلىم ئېلىش ھوقۇقىغا ئىگە. بىلىم ئېلىش ھەقسىز بولۇشى كېرەك. ھېچ بولمىغاندا، باشلانغۇچ ۋە ئاساسىي باسقۇچتا شۇنداق بولۇشى كېرەك. باشلانغۇچ مائارىپ مەجبۇرىيەت خاراكتېرىدا بولۇشى كېرەك. تېخنىكا مائارىپى ۋە كەسپىي مائارىپى ئومۇميۈزلۈك تەسىس قىلىش كېرەك. ئالىي مائارىپنىڭ ئىشىكىنى نەتىجىگە قاراپ بارلىق كىشىلەرگە تەڭ ئېچىۋېتىش كېرەك.
26-02	مائارىپنىڭ مەقسىتى ئادمنىڭ خاسلىقىنى بولۇق يېتىلدۈرۈش ھەمدە كىشىلىك ھوقۇقى ۋە ئاساسىي ئەركىنلىككە بولغان ھۆرمەتنى كۈچەيتىش. مائارىپ ھەرقايسى دۆلەتلەر، ئىرقلار، ياكى ھەرقايسى دىنىي گۇرۇھلار ئارا چۇشىنىشنى، يول قويۇشنى ۋە دوستلۇقنى ئىلگىرى سۈرۈشى ھەمدە بىرلەشكەن دۆلەتلەر تەشكىلاتىنىڭ تىنچلىقنى قوغداش يولىدىكى تۇرلۇك پائالىيەتلىرنى ئالغا سۈرۈشى كېرەك.
26-03	ئاتا-ئانىلار پەرزەنتلىرىنىڭ ئېلىشقا تېگىشلىك بىلىم تۇرلىرىنى ئاۋۋال تاللاش ھوقۇقىغا ىگە.
27-00	27 ماددا
27-01	ھەممە ئادەم جەمئىيەتنىڭ مەدەنىي تورمۇشىغا ئەركىن قاتنىشىپ، سەنئەتتىن بەھرىمەن بولۇشقا ھەمدە ئىلىم-پەن تەرەققىياتىدىن ۋە ئۇنىڭدىن ھاسىل بولغان پاراۋانلىقتىن تەڭ بەھرىمەن بولۇشقا ھوقۇقلەق.
27-02	ھەممە ئادەم ئۆزى ئىجاد قىلغان ئىلمىي، بەدىئىي ئەسەرلەردىن ۋە گۇزەل سەنئەت ئەسەرلىرىدىن ھاسىل بولغان مەنىۋى ۋە ماددىي مەنپەت مۇناسىۋىتى بىلەن، قوغىلىش ھوقۇقىغا ئىگە.
28-00	28 ماددا
28-01	ھەممە ئادەم مۇشۇ خىتابنامىدە قەيت قىلىنغان ھوقۇق ۋە ئەركىنلىكنىڭ تولۇق رېئاللىشىشىغا ئىمكان بېرىدىغان بىر خىل ئىجتىمائىي ۋە خەلقئارا تەرتىپنى تەلەپ قىلىشقا ھوقۇقلۇق.
29-00	29 ماددا
29-01	ھەممە ئادەم جەمئىيەت ئالدىدا مەجبۇرىيەتنى ئۈستىگە ئالغان بولىدۇ. چۇنكى، ئۇلارنىڭ خاسلىقى خەمئىيەت ئىچىدىلا ئەركىن ۋە تولۇق راۋاج تاپلايدۇ.
29-02	ھەممە ئادەم ئۆزىنىڭ ھوقۇقى ۋە ئەركىنلىكىنى يۈرگۈزگەندە، قانۇندا بەلگىلەنگەن چەكلىمىگىلا ئۇچرايدۇ. بۇنداق چەكلىمىنى بەلگىلەشتىكى بىردىنبىر مەقسەت باشقىلارنىڭ ھوقۇقى ۋە ئەركىنلىكىنىڭ تېگىشلىك دەرىجىدە ئېتىراپ قىلىنىشى ۋە ھۆرمەت قىلىنىشىغا كاپالەتلىك قىلىش ھەمدە دېموكراتىك جەمئىيەتتە ئەخلاق. جامائەت تەرتىپى ۋە ئومۇمىي پاراۋانلىقنىڭ ئورۇنلۇق ئېھتىياجىغا لايقلىشىش.
29-03	ئاشۇ ھوقۇق ۋە ئەركىنلىكلەرنى يۈرگۈزگەندە، ھەرقانداق ئەھۋالدا بىرلەشكەن دۆلەتلەر تەشكىلاتنىڭ ئاساسىي مەقسىتى ۋە پرىنسىپىغا خىلاپلىق قىلىشقا بولمايدۇ.
30-00	30 ماددا
30-01	بۇ خىتابنامىنىڭ ھەرقانداق بىر ماددىسىنى ھەرقانداق دۆلەت، گۇرۇھ ياكى شەخس مۇشۇ خىتابنامىدە قەيت قىلىنغان ھەرقانداق ھوقۇق ۋە ئەركىنلىكنى بۇزۇش مەقسىتىدىكى پائالىيەت ياكى ھەرىكەتلەرنى ئېلىپ بېرىشقا ھوقۇقلۇق دەپ سۇكۇت قىلىدىغان مەنىدە چۇشەندۇرۇشكە بولمايدۇ.
