00-00	TUCHODA TITAJU NIJYANVAJYU VURYATIDYE VICHASARA SAMIRYA VARIY
07-00	TUCHUSARA 7.
07-01	Titaju nijyanvay rarvivichasara jischavu cannadumu dañuma savicha chira, satidye jdutya cannadura rirvavatyasada.
08-00	TUCHUSARA 8.
08-01	Titaju nijyanvay rarvijtisara datyasavay cannadumu, satidye vichaniy vasejura rityuchutada nutyara nitiy ranique ricyatera nucharamu.
09-00	TUCHUSARA 9.
09-01	Ne ti rarvivichasara jirich1 mityamusiy, darvantyamuy tanuvunujomuju, darvantyamuy flrvjaatya jimyucadimusiy variryi.
10-00	TUCHUSARA l0.
10-01	Titaju nijyanvay rarvijtjsara jischavu cannadumu, satidye tuvachu cannadu vijymujachera rityuchutada, savichaniy vase varirvi dañuma rirvecha tavay. Cannadu raijtajanu titjau samidyeni tuchutasi, tuchutadajam1 jae, satidye datyara nutyaramusiy sja dutyara riñiquveada.
11-00	TUCHUSARA 11.
11-01	Rirvivichaniy juchajsani tuchutasi netimyu ridyityanu vijyomujachera sayasachada nutyara nÉiy ranique ricyatera nucharamu. Rirvisay sayada niquejasjiuyu, nltidye ranique variy sayadaju.
11-02	Rasipyatedanumatiy vadi catera nuchara, ne vurvatanuvunu ratani nitiy juchuvay rjaisiy ranijyu. Darvantiy rirvasachunumatirva sacasticachada tara juchuveda murichirva, ne vurvacasticay darva murichirvata nitiy juchuvay rasachodaj isiy.
12-00	TUCHUSARA 12.
12-01	Ne ti rarvitye ti barvamuyu, ne vinu satevamyu, darvantyamuy sarorimyu, darvantyamuy sacateramu. Ne t i%anique quivuyada tinijyu satidye jarupanu ratani, riñuma tanuvunu variy rivani.
13-00	TUCHUSARA 13.
13-01	Titaju nijyanvay rarvirupiñumaya jimyucadiva rirvatidye jarveta variy jivyichajoju.
13-02	TtDau nijyanvay rarvisipyatay tamucadimusiy, darvantya riryichipyatay j imyucadimusiy; daryantiy rarvitarva jimyucadimuju varintyi.
14-00	TUCHUSARA 14.
14-01	Titaju nijyanvay rarvivata jivyichajoju tamucadimu jasityi rirvadutya yavatyisJiisiyu.
14-02	Jiryatiy sÉenu juvidañi ne saridyutyadayu, tapi rivatya savata policia sanacho, riryatidye tanuvunu variy rivani, rirvatidye tanuvunu variy sajuchuvedivayu.
15-00	TUCHUSARA 15.
15-01	Titaju nijyanvay rarvivicha mucaditavay.
15-02	Ne ti rarvijubay mucaditi vichadajisiñL darvantyamuy sjaatyachirva jimyucadi satidye jay tara mucadimu varintyi.
16-00	TUCHUSARA 16.
16-01	Jamyiñumatiy vaduy, vatuy jerve, rirvjaamuy variy yisJau nrvatidye jude varirya nuñi tevamyu vichada. Ne ti rarvijubay ñrvja isirva jamuyada, darvantyamuy n'rvijubarva mutiji vichadaju, darvantyamuy rirvijubaa jityovjaada.
16-02	Ne ti rarvijamutyaniñi vanu surramusiy, netimyu savatadidrva jamuyada, darvantyamuy vatura.
16-03	Jirvatiy rndesara vutyevay jamuyadamusiy, detuyadamusiy jarve, vurvjanutyasara samirva jamuyada rirvimya jarupanura, nutityumiy jarye rarvijmutya varirvi.
17-00	TUCHUSARA 17.
17-01	Titaju nijyanvay rarvivichasara taratavay, varimyata nuñi timusiy, varimyata rajumusiy.
17-02	Ne ij raryichovay mityamusirya riberya tavay.
18-00	TUCHUSARA 18.
18-01	Titaju nijyanvay rarvijarveta munatya j ijechipiyjaadamu nutyaramusiy rirvecha, nutyaramusintyi rirvDa achipiya Judenunijyu. Savatatiy j anumityajja adajura j ijechipiyjaada, sarvij anumityaja varirya, daryantiy saj achipiyjaada Judenunijyu. Saryidityanu varirya j ijechipiyja ada mitya taranijyu, varimyata Judenunijyu. Sarvidityanu vijyomujachera darvantya sarorimyu, sasquita, darvantya rajumusiy. Saryidityanu datyadodamusiy varirva, daryantya jváyadamusiy, daryantya j ntyervadedamusiy j iryatiy rijechipiyasara variy Judenunijyu.
19-00	TUCHUSARA 19.
19-01	Ne ti raijubaa satiy jachipiya tara, sarvinique varirva jijechipiyjaada. Darvantyamuy sarvijiyasanta sajachipiyjaadivayu. Vanu rarvijtajanu riva datyada, rarvijmutya varirya tidatyada, ti jachipiyjaada jarve. Sarvidatyanu varirva jijechipiyjaada titjau vichadiva, nutyaramusiñitiy savata samirva sadatyanu variy jasirva.
20-00	TUCHUSARA 20.
20-01	Titaju nijyanvay rarvijntyeaniy tavatyayu, netimyu rintyrvaniy tj jarupadodajuyu.
20-02	Ne ti raryijnty£ryanityaniy ijsjaunI satidye jvay tara jasiy rusa.
21-00	TUCHUSARA 21.
21-01	Nuñi tjqui rarvijmutyariy jimyucadi jnutityumiy ruvayadamu, daryantya ti j iryatiy sajaryeta yibivajunj Vumyucadi jnutityumiy rarvijmutyariy nijyanvay yivajyomu, ne rarvijarveta ti satidye jmutya samivyjauni.
21-02	Vumyucadi jnutityumiy rarvinusurvi nijvanvay nutyaranintyi rivyata. TItjau nijyanvay raryidatyanura jivyatada jiryatiy rijeeta mlnitiy rivyata yintityJuu.
21-03	Stenu jaryetadamu flrvja aryetajariy j intityumiy. T1tDau nijyanvay raryijaryetariy j intityumiy dutyajomu, tima raryij arupantariy.
22-00	TUCHUSARA 22.
22-01	Titaju nijyanvay rarvivata nrvatidye jmutyajayasara rityevayu. TItDau taji mucadi janvay jmutyadta rirvijmutya nuñiy tquira jivyatara satidye vichasara jjchanayadamu, darvamusiy sjaasachura jivyichada.
23-00	TUCHUSARA 23.
23-01	Titaju nijyanvay raryijvajeyasara, sarvijarveta yivayadaju. Darvaday sarvijmutya yivayada murichirvantiy nutyi tavatyi jmutyasara darva. Ne sarvimacho jvayadajsa ratatidye satarvurva jivyatara.
23-02	Ne rirvimurchenu tqui jarvi timusiy darva jvayada murichirva.
23-03	Titaju nijyanvay jirvatiy jvayadatavay rarvijmutyara yivayada murichirya darva murchedoda ratatiy rirva½arvurva jidyedyeñu vatara jiatiy rivyata samirva vichadajura. Ratiy rsutye ramujurijaachipiya rityevay j mutyadariy.
23-04	Titaju nijyanvay raryintyeaniy jityervjvavyetya rirvatidye jiriy vatajumusia samirva murchedoda yivayada murichirva.
24-00	TUCHUSARA 24.
24-01	Titaju nijyanvay rarvivata jituyada yivayadamusiy nrvatidye jchanay tiyisadamu. Ne samirva racha rijyu netimyu rirvDaituy taraquiju yivajyomusiy.
25-00	TUCHUSARA 25.
25-01	Titaju nijyanvay rarvivata samirva vichada jityevatya rirvatidye vichasara jdivjaadajsa, samirva jmyivye, sujatyavay, rorityavay jarve. Daryantiy rarvivata jndanta, ratarya jmutyada jarye risJau. Netimyu jvayadatavay, rirvivichasaratiy j divjanuvay, varimyata bachenoda, nmityodadery jae, flijmutya variy jmutyada timusiy.
25-02	Mudasimiy, deramiy rusa rarvivata samirya jnutyada rirvatidye ramitya samivyerya jiryupachoda. Titaju deramiy raryivata samirva jnutyada j ityevamyu.
26-00	TUCHUSARA 26.
26-01	Titaju nijyanvay rarvivatara datyadoda catera nJuyomu. Ne rirvimurchenu jottada datyadoda murichirva. Rirvama jpanufly jidyedyeñu catera njuyomuju rajottada datyadodaju. Riryijantya mucadi jnutityumiy jasachodara catera njuyo jasityi nrvadatya vaderovarya tara jvayada. Richaratiy vaderovarya jarvi datyada jirvirvjiada, ne ti raijubay riryajisirva.
26-02	Maestroveda raryidatyanuriy nijyanvay ranacho rirvatidye javye samiy jachipiyavay, nrvecha variy samiy jvadichavay, ne riryijavatyariy tavay nijyanvay variy. Datyadodta rasachu datyada rirvimya niquechara tavatya variy, rirvatidye jnuy samirva jiñecho. Daryantiy datyadoda raijmutyara flrvatidye vichasara nijyanvay samirya mutiji.
26-03	Deramiy jamiy raryijaryetasara nutyara catera nJuyomu nrvadatya ridyedyeñu.
27-00	TUCHUSARA 27.
27-01	Titaju nijyanvay rarvisityarira jityevay vichada, rirvijchanatyantirya j ityevay jvaryantiy. Darvaday riijmutyara mamyi (Iatyadantiy atidye vicha samirva fljyu.
27-02	Titaju nijyanvay rarvivatara rirvatidye jnuy tavay samirva ranacho yindera, riijmutya mirvanurara ramurichirva.
28-00	TUCHUSARA 28.
28-01	Titaju nijyanvay rarvivata ratidye jdutyara vuvyichada jirya mucadimu, rirvatidye datyasara t-itDau jiatiy nuchara jiyudarva.
29-00	TUCHUSARA 29.
29-01	Titaju nijyanvay rarvidivyirva samirva vichada jivyichadamu jirvatiy vinu rivyichadamu Hrvijavye samirva.
29-02	Titjau nijyanvay rarvisaboniy jimyucadi niquejadamuyu rirvatidye vichasara samirva jityunu vichavatya. Ne rarvicha javatyada variy jasiy darvantyamuy vamirvamu vichada.
29-03	Tama rirvivichasara nijyanvay jirva niquejada jiyarjou jiatiy ntyuchu raju mucadimusirva.
30-00	TUCHUSARA 30.
30-01	Ne rirvadatyasara nijyanvarva jirva niquejada rirvatidye javatya ratara tavay nijyanvay vichada, darvantyamuy nrvatidye jubay tavay jisirva samirva vichada. Ranuma titajura.
