00-00	世界人权宣言
26-02	教育嘅目的係充分发展人嘅个性兼加强对人权同埋基本自由嘅尊重。教育应当促进各国、各种族或各宗教集团间嘅了解、容忍同友谊，兼促进联合国维护和平嘅各项活动。
26-03	阿爸阿妈对佢哋嘅细孥所应受嘅教育嘅种类，有优先选择嘅权利。
27-00	第二十七条
27-01	人人有权自由参加社会嘅文化生活，享受艺术，兼分享科学进步同埋佢产生嘅福利。
27-02	人人对由于佢所创作嘅任何科学、文学或美术作品而产生嘅精神嘅同埋物质嘅利益，有享受保护嘅权利。
28-00	第二十八条
28-01	人人有权要求一种社会嘅兼国际嘅秩序，喺呢种秩序内，呢宣言所载嘅权利同埋自由可以得到充分实现。
29-00	第二十九条
29-01	人人对社会负有义务，因为只有喺社会内佢嘅个性才可能得到自由兼充分嘅发展。
29-02	人人在行使佢嘅权利同自由时，只受法律所确定嘅限制，确定呢种限制嘅唯一目的係保证对旁人嘅权利同自由给予应有嘅承认同尊重，并享一个民主嘅社会内适应道德、公共秩序同普遍福利嘅正当需要。
29-03	呢啲权利同自由嘅行使，唔论享任何情形下冚啲都唔好违背联合国嘅宗旨同埋原则。
30-00	第三十条
30-01	呢宣言嘅任何条文，唔好解释为默许任何国家、集团或个人有权进行任何旨在破坏呢宣言所载嘅任何权利同自由嘅活动或行为。
